pilot_item_id	source_set	source_object_id	candidate_object_id	position_after_first_sentence	canonical_word	visible_prefix	missing_letters	expected_input_length	answer_unit	source_text_changed	mask_rule	official_rule_id	language_status	fact_status	bias_status	rights_status	independent_review_status	implementation_status	release_status
item:t1-r-cw2-v3:blank-01	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	2	provides	prov	ides	4	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-02	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	4	light	li	ght	3	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-03	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	6	heat	he	at	2	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-04	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	8	make	ma	ke	2	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-05	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	10	on	o	n	1	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-06	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	12	possible	poss	ible	4	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-07	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	14	inside	ins	ide	3	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-08	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	16	sun	s	un	2	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-09	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	18	process	pro	cess	4	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
item:t1-r-cw2-v3:blank-10	set-1	object:t1-r-cw2	object:t1-r-cw2-v3	20	nuclear	nuc	lear	4	missing_letters	yes	ctw-mask-2026-v1	CTW-OF-001	approved_documentary_candidate	approved_documentary_candidate	approved	internal_commit_origin_identified_pending_owner_attestation_and_similarity_review	pending	pending_authorization	blocked
