# manifest_id	toefl-2026-missing-audio-manifest
# manifest_version	2026-08-20.v1
# scope	400_new_files_only;260_existing_mp3_preserved
# generation_authorized	no
media_id	set_id	section	module	task	source_item_ids	planned_url	source_ref	script_sha256	source_script_characters	billable_characters	words	request_segments	speaker_labels	declared_voice_roles	cast_profiles	target_profile	sample_candidate	media_status	approval_status
media:toefl:set-1:listening-m1-choose-6	set-1	listening	listening-1	choose-response	item:t1-l-m1-cr6-v1	/audio/toefl/set-1/listening-m1-choose-6.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m1-choose-6	e9ef6de371f7b4a7a65fed0a251b9529bc3fb21d14ca3f967c49d0674f9b3a19	49	49	9	1	woman	woman	woman	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m1-choose-7	set-1	listening	listening-1	choose-response	item:t1-l-m1-cr7-v1	/audio/toefl/set-1/listening-m1-choose-7.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m1-choose-7	75b8d6cd13c11b635cf3a8f7a4b67cca26e5246b7e1039141c3f0f6e5e79fc89	51	51	11	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m1-choose-8	set-1	listening	listening-1	choose-response	item:t1-l-m1-cr8-v1	/audio/toefl/set-1/listening-m1-choose-8.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m1-choose-8	67852bbdc04194ade29b298560e96be673383e8eeb301bd5c95e480da508887b	44	44	9	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-academic-talk	set-1	listening	listening-2	academic-talk	item:t1-l-m2-at1-v1;item:t1-l-m2-at2-v1;item:t1-l-m2-at3-v1;item:t1-l-m2-at4-v1	/audio/toefl/set-1/listening-m2-academic-talk.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-academic-talk	1cc7197623cbb322679c3c72853d303b4c7eedb502aaf686d5d98c591621fceb	1252	1241	193	1	PROFESSOR	professor	professor	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-announcement	set-1	listening	listening-2	announcement	item:t1-l-m2-an1-v1;item:t1-l-m2-an2-v1	/audio/toefl/set-1/listening-m2-announcement.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-announcement	13630947abc0ca360c490fdcf84925ba255c87ac354bc539eec0b10d3251ab81	383	372	60	1	ANNOUNCER	announcer	announcer	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-1	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr1-v1	/audio/toefl/set-1/listening-m2-choose-1.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-1	1e81452802f06fc03030178322be1b4034e58f1e2e63f4eeb7b6e9e8c220e721	50	50	9	1	man	man	man	mp3_44100_64_mono_after_QA	yes	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-2	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr2-v1	/audio/toefl/set-1/listening-m2-choose-2.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-2	eeecb3f6d87814151d0f5b7d42a7eb2b02c87bba7ce5cb5de844ba92cf6aecd9	36	36	6	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-3	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr3-v1	/audio/toefl/set-1/listening-m2-choose-3.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-3	ba00109aae548a63f8cc11dbb180407d8a9d30b0fa47f98f6cdab149ebb0689f	37	37	8	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-4	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr4-v1	/audio/toefl/set-1/listening-m2-choose-4.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-4	45a7f96cea6c397ec3b8c25de03a031b22dce585933aad85f1ced14c61b44a51	48	48	8	1	woman	woman	woman	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
media:toefl:set-1:listening-m2-choose-5	set-1	listening	listening-2	choose-response	item:t1-l-m2-cr5-v1	/audio/toefl/set-1/listening-m2-choose-5.mp3	src/data/toefl/listening-fixed-sets-1-5.ts#media:toefl:set-1:listening-m2-choose-5	faad94b36f4c66e000ad7caa49d802d20e3aee1d92a56467acfa43cb5df24f20	49	49	8	1	man	man	man	mp3_44100_64_mono_after_QA	no	script-ready-audio-blocked	blocked_pending_owner_manifest_voices_sample_cost
