block_id	set_id	topic	source_word_count	sentences_reviewed	factual_status	severity	confidence	language_status	primary_issue	repair_directive	official_source_ids	official_source_urls	external_similarity_query	external_similarity_status	provenance_commit	rights_status	representation_status	reuse_decision	release_status
t1-r-cw2	set-1	sun	79	6	needs_factual_precision	high	high	language_pass_initial	hot_gas_is_less_precise_than_plasma_and_anything_to_live_is_absolute	change_gas_to_plasma_and_limit_dependence_claim_to_most_life_without_moving_first_twenty_targets	NASA-SUN-FACTS|NOAA-CHEMOSYNTHESIS	https://science.nasa.gov/sun/facts/|https://oceanexplorer.noaa.gov/ocean-fact/photochemo/	Deep_inside_the_sun_a_process_called_nuclear_fusion_releases_enormous_amounts_of_energy	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_general_science	B_fact_repair_then_C_derive	blocked
t2-r-cw2	set-2	penguins	76	5	needs_species_qualification	medium	high	language_pass_initial	huddling_is_presented_as_general_to_penguins_but_evidence_is_species_specific	qualify_huddling_with_some_species_especially_emperor_penguins_and_keep_climate_effects_species_specific	BAS-PENGUIN-CLIMATE|BAS-PENGUIN-LEAFLET	https://www.bas.ac.uk/data/our-data/publication/penguin-responses-to-climate-change-in-the-southern-ocean/|https://www.bas.ac.uk/wp-content/uploads/2015/05/Public-information-leaflet_PENGUINS_2017.pdf	Their_wings_have_become_flippers_that_help_them_move_quickly_through_the_water	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_species_variation_needed	B_species_precision_then_C_derive	blocked
t3-r-cw2	set-3	brain	77	5	needs_editorial_precision	medium	high	known_universe_superlative_not_operationalizable	known_universe_is_an_unverifiable_rhetorical_superlative	replace_with_complex_organs_in_the_human_body_and_retain_supported_neuron_involuntary_control_claims	NIH-BRAIN-INFO	https://www.ncbi.nlm.nih.gov/books/NBK20367/?report=classic	Scientists_still_do_not_fully_understand_how_the_brain_produces_thoughts_and_consciousness	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_avoid_human_exceptionalism_superlative	B_editorial_precision_then_C_derive	blocked
t4-r-cw2	set-4	ants	72	5	needs_factual_and_similarity_repair	high	high	language_pass_initial	queen_lays_all_eggs_is_absolute_and_one_sentence_matches_a_preexisting_2025_web_source	qualify_queen_as_primary_reproductive_and_rewrite_pheromone_sentence_independently	USDA-ANT-PHEROMONE|PMC-ANT-REPRODUCTION	https://www.ars.usda.gov/ARSUserFiles/60360510/docs/electstim.pdf|https://pmc.ncbi.nlm.nih.gov/articles/PMC11139587/	Ants_communicate_mainly_through_chemical_signals_called_pheromones	exact_sentence_match_preexisting_AnimalStart_2025	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_exact_match_owner_attestation_rewrite_and_independent_review	low_cultural_load_general_science	B_fact_and_similarity_rewrite_then_C_derive	blocked
t5-r-cw2	set-5	sleep	79	4	needs_evidence_qualification	high	high	language_pass_initial	waste_clearance_and_one_of_most_effective_schedule_claims_are_stated_more_strongly_than_human_evidence	state_that_research_suggests_sleep_related_clearance_and_remove_unsupported_effectiveness_ranking	NHLBI-SLEEP-DURATION|NIH-GLYMPHATIC-HUMAN	https://www.nhlbi.nih.gov/health/sleep/how-much-sleep|https://www.nih.gov/news-events/nih-research-matters/brain-waste-clearance-system-shown-people-first-time	During_sleep_the_brain_does_not_simply_shut_down_it_stays_active	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_health_generalization_not_medical_advice	B_evidence_precision_then_C_derive	blocked
t6-r-cw2	set-6	bees	70	4	needs_population_scope	high	high	language_pass_initial	bee_population_decline_is_globalized_across_managed_and_wild_species	name_observed_regional_and_species_specific_losses_and_multiple_causes	USDA-POLLINATORS|USDA-BEE-HEALTH-REPORT	https://www.climatehubs.usda.gov/hubs/midwest/topic/pollinators|https://www.usda.gov/sites/default/files/documents/Attractiveness-of-Agriculture-Crops-to-Pollinating-Bees-Report-FINAL-Web-Version-Jan-3-2018.pdf	As_a_bee_moves_from_flower_to_flower_collecting_nectar_it_carries_pollen_with_it	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_avoid_single_global_decline_claim	B_population_scope_then_C_derive	blocked
t7-r-cw2	set-7	recycling	72	5	fact_pass_general_scope	low	high	language_pass_initial	local_acceptance_rules_vary_but_text_already_directs_users_to_city_instructions	retain_text_and_require_locality_context_if_reused_outside_general_academic_practice	EPA-RECYCLING-FAQ	https://www.epa.gov/recycle/frequent-questions-recycling	Putting_the_wrong_materials_in_a_recycling_bin_can_ruin_an_entire_batch	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_local_rules_acknowledged	C_derive_after_rights_review	blocked
t8-r-cw2	set-8	volcanoes	70	4	needs_language_and_forecast_precision	high	high	grammar_fail_reaches_onto_surface	reaches_onto_is_unidiomatic_and_monitoring_cannot_guarantee_warning_before_every_eruption	change_to_reaches_the_surface_and_state_monitoring_supports_forecasts_and_warnings	USGS-VOLCANO-MONITORING	https://pubs.usgs.gov/gip/monitor/intro.html	Beneath_the_surface_this_molten_rock_is_called_magma_once_it_reaches_the_surface	no_exact_full_sentence_match_in_query_generic_geology_overlap_only	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_hazard_uncertainty_needed	B_language_and_fact_repair_then_C_derive	blocked
t9-r-cw2	set-9	human_heart	58	4	fact_pass_general_health_scope	low	high	language_pass_initial	text_is_short_for_ctw_but_core_health_claims_are_supported	extend_with_sourced_nonassessable_context_without_adding_medical_diagnosis	NHLBI-HEART-MANUAL|NHLBI-SMOKING-HEART	https://www.nhlbi.nih.gov/sites/default/files/publications/Heart%20Manual_InsidePages_Final_10.19.20.pdf|https://www.nhlbi.nih.gov/health/heart/smoking	It_beats_around_one_hundred_thousand_times_a_day_sending_oxygen_and_nutrients	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_health_generalization_not_medical_advice	B_extend_then_C_derive	blocked
t10-r-cw2	set-10	rivers	78	5	fact_pass_general_scope	low	high	language_pass_initial	river_origins_and_destinations_have_exceptions_but_wording_uses_often_and_general_definition	retain_text_and_avoid_presenting_general_path_as_universal_in_future_questions	USGS-RIVERS|EPA-AGRICULTURAL-RUNOFF	https://www.usgs.gov/water-science-school/science/rivers-streams-and-creeks|https://www.epa.gov/nps/nonpoint-source-agriculture	For_thousands_of_years_humans_have_settled_near_rivers_because_they_provide_fresh_water	no_exact_full_sentence_match_in_query	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	blocked_owner_attestation_search_limit_and_independent_review	low_cultural_load_general_human_history	C_derive_after_rights_review	blocked
