data_class_id	entity	data_examples	personal_data_class	purpose_id	collection_trigger	authorization_or_condition	required_or_optional	storage_location	access_roles	access_control	retention_class	retention_max	deletion_trigger	backup_expiry	exportable	scoring_use	analytics_use	prohibited_use	release_gate
DC-001	exam_attempt	attempt_id,status,mode,fidelity,versions	pseudonymous	PURPOSE_SAVE_PROGRESS	explicit_save_or_exam_preflight	prior_informed_recorded	required_for_durable_attempt	private_database	owner,privacy_admin	owner_rls_and_audited_admin	R01_ATTEMPT_CORE	24_months_after_close	expiry_or_verified_request	30_days	yes	coverage_and_provenance	only_deidentified	marketing_or_cross_user_access	schema_rls_delete_tests
DC-002	version_snapshot	composition,registry,policy,scoring,timing_versions	pseudonymous	PURPOSE_SAVE_PROGRESS	attempt_creation	same_as_attempt	required_for_durable_attempt	private_database	owner,service,authorized_auditor	owner_rls_and_audited_admin	R01_ATTEMPT_CORE	24_months_after_close	expiry_or_attempt_delete	30_days	yes	required_for_interpretation	aggregated_after_deidentification	hidden_version_changes	version_reconciliation_tests
DC-003	attempt_event	transition_id,seq,from,to,reason,timestamps	pseudonymous	PURPOSE_SAVE_PROGRESS	state_transition	same_as_attempt	required_for_durable_attempt	private_database	owner,service,support_with_ticket	owner_rls_scoped_support	R06_EVENT_ROUTE_TIMING	24_months_after_close	expiry_or_attempt_delete	30_days	yes	state_only	deidentified_flow_metrics	answer_payload_or_pii_in_log	idempotency_and_sequence_tests
DC-004	writer_lease	lease_id,writer_id,expires_at	pseudonymous	PURPOSE_SAVE_PROGRESS	writer_acquisition	same_as_attempt	required_for_durable_attempt	private_database	owner_session,service	attempt_scoped	R11_WRITER_LEASE	7_days_after_close	expiry_or_attempt_delete	7_days	no	none	none	identity_profiling	concurrency_tests
DC-005	item_response_selected	item_id,choice,response_version	pseudonymous	PURPOSE_SAVE_PROGRESS	sealed_response	same_as_attempt	optional_in_A_B_required_for_C_D	private_database	owner,scoring_service	owner_rls_service_scope	R02_SELECTED_RESPONSE	12_months_after_close	expiry_or_verified_request	30_days	yes	raw_local_scoring	deidentified_item_metrics	marketing_or_model_training	outcome_and_delete_tests
DC-006	item_response_text	writing_response,revisions	personal_content	PURPOSE_CONSTRUCTED_EVAL	explicit_submit_after_context_notice	explicit_recorded_separate_from_marketing	optional	private_database_or_private_object	owner,assigned_rater,scoring_service	owner_rls_assignment_scope	R03_WRITING_TEXT	180_days_after_close_or_feedback	expiry_or_verified_request	30_days	yes	local_rubric_only	no_raw_analytics	marketing,public_access,training_without_opt_in	private_access_provider_delete_tests
DC-007	item_response_audio	voice_recording	personal_content_high_risk	PURPOSE_CONSTRUCTED_EVAL	explicit_upload_after_context_notice	explicit_recorded_separate_from_marketing	optional	private_object_storage	owner,assigned_rater,scoring_service	opaque_key_signed_short_url	R04_VOICE_SOURCE	30_days_after_feedback_hard_max_90_from_capture	expiry_or_verified_request	30_days	yes_by_secure_download	local_rubric_only	no_raw_analytics	public_bucket,voiceprint,emotion,identity,training	private_bucket_orphan_provider_delete_tests
DC-008	audio_transcript	transcript,timestamps	personal_content	PURPOSE_CONSTRUCTED_EVAL	approved_processing_job	inherits_constructed_eval_authorization	optional	private_database_or_object	owner,assigned_rater,scoring_service	owner_rls_assignment_scope	R05_VOICE_DERIVED	90_days_after_capture	expiry_source_delete_or_request	30_days	yes	feedback_evidence_only	no_raw_analytics	training,marketing,identity_inference	provider_provenance_and_delete_tests
DC-009	audio_features	fluency,pauses,pronunciation_features	derived_personal_data	PURPOSE_CONSTRUCTED_EVAL	approved_processing_job	inherits_constructed_eval_authorization	optional	private_database	scoring_service,assigned_rater	scoped_no_bulk_export	R05_VOICE_DERIVED	90_days_after_capture	expiry_source_delete_or_request	30_days	yes_when_meaningful	experimental_until_validated	only_approved_deidentified_aggregate	voiceprint,emotion,identity,training	bias_validity_provider_tests
DC-010	item_outcome	status,reason,score_run_id	pseudonymous	PURPOSE_SAVE_PROGRESS	item_close	same_as_attempt	required_for_durable_attempt	private_database	owner,scoring_service	owner_rls_service_scope	R01_ATTEMPT_CORE	24_months_after_close	expiry_or_attempt_delete	30_days	yes	canonical_denominator	deidentified_completion_metrics	null_as_state_or_hidden_failures	seven_outcome_reconciliation
DC-011	route_decision	stage,input_hash,policy,result	pseudonymous	PURPOSE_SAVE_PROGRESS	router_close	same_as_attempt	required_for_D	private_database	owner,scoring_service,auditor	owner_rls_audited_scope	R06_EVENT_ROUTE_TIMING	24_months_after_close	expiry_or_attempt_delete	30_days	yes	required_for_D_interpretation	deidentified_route_metrics	hidden_rerouting_or_manual_override	route_reproducibility_tests
DC-012	score_run	snapshot_hash,scoring_version,status,coverage,uncertainty	pseudonymous	PURPOSE_SAVE_PROGRESS	scoring_request	same_as_attempt	required_when_reporting	private_database	owner,scoring_service,auditor	owner_rls_audited_scope	R07_SCORE_RATER_AUDIT	24_months_after_score_close	expiry_or_attempt_delete	30_days	yes	canonical_versioned_result	deidentified_validation_metrics	overwrite,official_claim,hidden_conversion	immutability_and_report_tests
DC-013	score_component	raw_earned,raw_max,outcome,evaluator,rubric	pseudonymous	PURPOSE_SAVE_PROGRESS	score_run	same_as_attempt	required_when_reporting	private_database	owner,scoring_service,assigned_rater	owner_rls_assignment_scope	R07_SCORE_RATER_AUDIT	24_months_after_score_close	expiry_or_attempt_delete	30_days	yes	local_result_only	deidentified_validation_metrics	self_assessment_as_score_or_pii	denominator_and_rubric_tests
DC-014	rater_review	rater_opaque_id,rubric_version,ratings,confidence	pseudonymous	PURPOSE_CONSTRUCTED_EVAL	assigned_review	same_as_constructed_response	required_for_human_review	private_database	owner_after_release,assigned_rater,auditor	assignment_rls_and_audit	R07_SCORE_RATER_AUDIT	24_months_after_score_close	expiry_or_attempt_delete	30_days	yes	local_rubric_only	deidentified_agreement_metrics	rater_email_or_unassigned_access	assignment_conflict_second_review_tests
DC-015	disclosure_receipt	disclosure_id,version,language,text_hash,shown_at	pseudonymous	PURPOSE_SAVE_PROGRESS	before_relevant_processing	not_consent_but_proof_of_notice	required_for_durable_attempt	private_database	owner,privacy_admin	owner_rls_audited_admin	R08_DISCLOSURE_AUTH_PROOF	36_months_after_last_related_processing	expiry_after_dependencies	30_days	yes	none	compliance_counts_only	behavioral_marketing	disclosure_version_tests
DC-016	authorization_receipt	purpose_id,choice,policy_version,actor,revocation	personal_governance	purpose_specific	before_collection	explicit_prior_informed_queryable	required_per_optional_purpose	private_database	owner,privacy_admin	owner_rls_audited_admin	R08_DISCLOSURE_AUTH_PROOF	36_months_after_last_related_processing	expiry_after_dependencies_or_reviewed_request	30_days	yes	none	compliance_counts_only	bundled_consent_or_answer_copy	consent_reject_revoke_tests
DC-017	technical_log	error_code,latency,request_id	pseudonymous	PURPOSE_PRODUCT_ANALYTICS	technical_event	policy_notice_and_minimization	optional	private_log_store	support,security	scoped_role_and_ticket	R09_TECH_LOG	30_days_after_event	expiry	30_days	limited	none	operational_aggregate	response_prompt_pii_signed_url	log_redaction_rotation_tests
DC-018	security_log	ip,user_agent,auth_event	personal_technical	PURPOSE_PRODUCT_ANALYTICS	security_event	policy_notice_and_security_necessity	required_when_security_event	private_log_store	security,privacy_admin	audited_scoped_access	R10_SECURITY_ACCESS_LOG	90_days_after_event	expiry_or_legal_hold_end	30_days	limited	none	security_only	academic_scoring_or_marketing	incident_and_rotation_tests
DC-019	privileged_access_audit	actor_id,role,resource,reason,decision	personal_governance	PURPOSE_SAVE_PROGRESS	privileged_access	internal_accountability	required	private_database	privacy_admin,auditor	append_only_audited	R10_SECURITY_ACCESS_LOG	24_months_after_event	expiry_or_legal_hold_end	30_days	yes	none	access_control_metrics	answer_payload_in_log	admin_and_rater_access_tests
DC-020	privacy_request	case_id,type,status,due_at,resolution	personal_governance	data_subject_rights	verified_request	statutory_right	required_when_requested	private_case_store	owner,privacy_admin	verified_subject_audited_admin	R12_PRIVACY_CASE	36_months_after_resolution	expiry_or_reviewed_request	30_days	yes	none	case_sla_aggregate	marketing_or_scoring	access_export_delete_sla_tests
