assetId	family	formatLabel	title	sourcePath	sourceLocator	declaredId	stableIdStatus	routePaths	runtimeExposure	module	inferredModule	moduleStatus	moduleInferenceBasis	contentForm	passageWordCount	questionGroupCount	decisionCount	rightsBasisPresent	authorPresent	reviewerPresent	factualSourcesPresent	surfaceClaim	provisionalRightsBasis	rightsAssessmentStatus	recommendedDisposition	runtimeQuarantineContradiction	quarantineReasonCodes	sourceFileSha256	sourceObjectSha256	passageSha256
formative:diagram-labeling:dl-greenhouse-ventilation	formative-route-bank	diagram-labeling	How a greenhouse ventilation system works	src/data/practica-exams/seo-catalog.ts	IELTS_DIAGRAM_LABELING_PASSAGES[1]	dl-greenhouse-ventilation	declared	/practica/ielts/reading/tipos-de-preguntas/diagram-labeling	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	205	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	8a13ecbdaa754edad3064aee5353abe3bca0ec01bf7ae5594bdf8931fdd3108f	3adf4946029e75d474945a4ab3da830b3644901e2c4fe45ff253f7f672039ac5
formative:diagram-labeling:dl-hand-pump	formative-route-bank	diagram-labeling	How a hand pump lifts water	src/data/practica-exams/seo-catalog.ts	IELTS_DIAGRAM_LABELING_PASSAGES[2]	dl-hand-pump	declared	/practica/ielts/reading/tipos-de-preguntas/diagram-labeling	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	208	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	5cdbc09b58198bacb9223b003c4b893bfb8fb4dd3fff026c23a41b4034c74636	d20148da663fa0c849d4d62faf20b289990898022e400287cf8acea9715ba932
formative:diagram-labeling:dl-rain-garden	formative-route-bank	diagram-labeling	How a rain garden filters street runoff	src/data/practica-exams/seo-catalog.ts	IELTS_DIAGRAM_LABELING_PASSAGES[0]	dl-rain-garden	declared	/practica/ielts/reading/tipos-de-preguntas/diagram-labeling	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	230	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	169286e17390eac51a6c8d1b0621f6714f91c050f9280ca3e855788177fd49e2	d874002faad739b9d4413d6c558a367c1b2d63331f7dd0132ff7b3a56a7bdc18
formative:flow-chart-completion:flow-community-pottery	formative-route-bank	flow-chart-completion	Preparing clay for community pottery	src/data/practica-exams/seo-catalog.ts	IELTS_FLOW_CHART_COMPLETION_PASSAGES[1]	flow-community-pottery	declared	/practica/ielts/reading/tipos-de-preguntas/flow-chart-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	222	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	01d18b2fc26faf66c1d7ff0cd7f827fc5234612269244e948e4d98360f038f0a	f8a76e0c3032e7a0446f42af70e20284f794d70f73c28345ab904633c73e524e
formative:flow-chart-completion:flow-noise-mapping	formative-route-bank	flow-chart-completion	Creating an urban noise map	src/data/practica-exams/seo-catalog.ts	IELTS_FLOW_CHART_COMPLETION_PASSAGES[2]	flow-noise-mapping	declared	/practica/ielts/reading/tipos-de-preguntas/flow-chart-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	214	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	161d57827e7bbe02a99b6fff519fff6fbd1c14f54ed28dbf17ff81564dddf6b5	4375c6fb8058d0469ceadaaaff3b21831d1dc891073ed905bbb26f64a4e83735
formative:flow-chart-completion:flow-recycling-textiles	formative-route-bank	flow-chart-completion	Recycling cotton textiles	src/data/practica-exams/seo-catalog.ts	IELTS_FLOW_CHART_COMPLETION_PASSAGES[0]	flow-recycling-textiles	declared	/practica/ielts/reading/tipos-de-preguntas/flow-chart-completion	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	236	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	d039e350b44ef1b56c4db882eef1139301e534607ae93149b521fb3e3469117d	75a94a0f537c569367a69e2eafada44f3b84a8822b7b318d319eeff6559bfd75
formative:matching-features:mf-memory-research	formative-route-bank	matching-features	Matching Features practice: memory research	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_FEATURES_PASSAGES[1]	mf-memory-research	declared	/practica/ielts/reading/tipos-de-preguntas/matching-features	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	306	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	c88f5a60dc24c9ce76a773055168b14f496321f720e215401053fc22bba6a36d	c5f2afe4ca4c8a615f53f811f1ec874d648aec533377b02652c36220def0c34d
formative:matching-features:mf-transport-policies	formative-route-bank	matching-features	Matching Features practice: transport policies	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_FEATURES_PASSAGES[2]	mf-transport-policies	declared	/practica/ielts/reading/tipos-de-preguntas/matching-features	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	264	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	2b101575e9c524ab47060bdd6266b6d46138502be62b5aea708672eeb226e7b4	7a97055dd29a50cccfbb5770196fec18d1ce83e2f2862d8696feb4a7454ad10c
formative:matching-features:mf-urban-farming	formative-route-bank	matching-features	Matching Features practice: urban farming projects	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_FEATURES_PASSAGES[0]	mf-urban-farming	declared	/practica/ielts/reading/tipos-de-preguntas/matching-features	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	passage-string	308	1	7	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	94fcc6b7c50c8ab6d433890bf4d9b6e0155cb5519203d3e89aa70362346aa68d	1e68c035d63b1d06a2125a7d76e01448a3c72aba944886debd6c51070b81c732
formative:matching-headings:mh-night-trains	formative-route-bank	matching-headings	The return of night trains	src/data/practica-exams/seo-catalog.ts	IELTS_MATCHING_HEADINGS_PASSAGES[2]	mh-night-trains	declared	/practica/ielts/reading/tipos-de-preguntas/matching-headings	published-catalog-route		academic	inferred	inferred-from-academic-reading-route	paragraph-array	281	1	6	false	false	false	false	original-welearn-visible-claim	unknown-quarantined	structured-evidence-absent	quarantine	true	missing-author | missing-factual-sources | missing-or-invalid-rights-basis | missing-reviewer | module-not-declared-on-asset	aebd26a1aa6a9cdae60f7b0208c3f5f6c3138889f8aeb4f3ae15efbe888734de	6c77fe0e8e219f2cf1a674244d40f9a864e7c3d84e0300450dbb6d36a622e08d	9de7bd0fca923e7802643ea82fe2cb9df33be8c7ec49e1d263bfeb5416bf51d5
