# inventory_id	toefl-2026-editorial-inventory
# inventory_version	2026-08-09.v1
# official_registry	toefl-ibt-2026@2026-08-09.v2
# source_fingerprint	50b3b8d7dd04826cf625052e7910b844c305894d43b2eae5fda01f881d3d512d
# source_scope	src/data/mocks/toefl-set-{1..20}.ts
# default_content_version	legacy_unversioned
# default_authorship_status	not_recorded
# default_provenance_status	not_recorded
record_type	record_id	set_id	part	task_rule	source_type	parent_id	editorial_state	validation_status	reuse_status	renderer_status
set	set:set-1	set-1		R-001..S-002	MockExam		draft	audited_with_blockers	pending_T05	mixed
section	section:set-1:part-1	set-1	1	R-001	MockSection	set:set-1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-cw1	set-1	1	R-001	wordcomplete	section:set-1:part-1	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-r-cw1:template	set-1	1	R-001	wordcomplete_template	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-1	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-2	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-3	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-4	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-5	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw1:blank-6	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-cw2	set-1	1	R-001	wordcomplete	section:set-1:part-1	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-r-cw2:template	set-1	1	R-001	wordcomplete_template	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-1	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-2	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-3	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-4	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-5	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-cw2:blank-6	set-1	1	R-001	wordcomplete_blank	object:t1-r-cw2	draft	legacy_unverified	pending_T05	handled
section	section:set-1:part-2	set-1	2	R-002	MockSection	set:set-1	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:set-1:part-2:passage	set-1	2	R-002	section_passage	section:set-1:part-2	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-dl1	set-1	2	R-002	mcq	section:set-1:part-2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-dl1	set-1	2	R-002	mcq	object:t1-r-dl1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-dl2	set-1	2	R-002	mcq	section:set-1:part-2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-dl2	set-1	2	R-002	mcq	object:t1-r-dl2	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-dl3	set-1	2	R-002	mcq	section:set-1:part-2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-dl3	set-1	2	R-002	mcq	object:t1-r-dl3	draft	legacy_unverified	pending_T05	handled
section	section:set-1:part-3	set-1	3	R-002	MockSection	set:set-1	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:set-1:part-3:passage	set-1	3	R-002	section_passage	section:set-1:part-3	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-dl4	set-1	3	R-002	mcq	section:set-1:part-3	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-dl4	set-1	3	R-002	mcq	object:t1-r-dl4	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-dl5	set-1	3	R-002	mcq	section:set-1:part-3	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-dl5	set-1	3	R-002	mcq	object:t1-r-dl5	draft	legacy_unverified	pending_T05	handled
section	section:set-1:part-4	set-1	4	R-003	MockSection	set:set-1	draft	legacy_unverified	pending_T05	mixed
stimulus	stimulus:set-1:part-4:passage	set-1	4	R-003	section_passage	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap1	set-1	4	R-003	mcq	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-ap1	set-1	4	R-003	mcq	object:t1-r-ap1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap2	set-1	4	R-003	mcq	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-ap2	set-1	4	R-003	mcq	object:t1-r-ap2	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap3	set-1	4	R-003	mcq	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-ap3	set-1	4	R-003	mcq	object:t1-r-ap3	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap4	set-1	4	R-003	mcq	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-ap4	set-1	4	R-003	mcq	object:t1-r-ap4	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap5	set-1	4	R-003	mcq	section:set-1:part-4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-r-ap5	set-1	4	R-003	mcq	object:t1-r-ap5	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-r-ap6	set-1	4	R-003	multiselect	section:set-1:part-4	draft	legacy_unverified	pending_T05	unhandled
item_unit	item:t1-r-ap6	set-1	4	R-003	multiselect	object:t1-r-ap6	draft	legacy_unverified	pending_T05	unhandled
section	section:set-1:part-5	set-1	5	L-001	MockSection	set:set-1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cr1	set-1	5	L-001	mcq	section:set-1:part-5	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-l-cr1:audio	set-1	5	L-001	question_audio_without_transcript	object:t1-l-cr1	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cr1	set-1	5	L-001	mcq	object:t1-l-cr1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cr2	set-1	5	L-001	mcq	section:set-1:part-5	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-l-cr2:audio	set-1	5	L-001	question_audio_without_transcript	object:t1-l-cr2	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cr2	set-1	5	L-001	mcq	object:t1-l-cr2	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cr3	set-1	5	L-001	mcq	section:set-1:part-5	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-l-cr3:audio	set-1	5	L-001	question_audio_without_transcript	object:t1-l-cr3	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cr3	set-1	5	L-001	mcq	object:t1-l-cr3	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cr4	set-1	5	L-001	mcq	section:set-1:part-5	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-l-cr4:audio	set-1	5	L-001	question_audio_without_transcript	object:t1-l-cr4	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cr4	set-1	5	L-001	mcq	object:t1-l-cr4	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cr5	set-1	5	L-001	mcq	section:set-1:part-5	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:t1-l-cr5:audio	set-1	5	L-001	question_audio_without_transcript	object:t1-l-cr5	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cr5	set-1	5	L-001	mcq	object:t1-l-cr5	draft	legacy_unverified	pending_T05	handled
section	section:set-1:part-6	set-1	6	L-002	MockSection	set:set-1	draft	legacy_unverified	pending_T05	handled
stimulus	stimulus:set-1:part-6:audio	set-1	6	L-002	section_audio_with_transcript_candidate	section:set-1:part-6	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cv1	set-1	6	L-002	mcq	section:set-1:part-6	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cv1	set-1	6	L-002	mcq	object:t1-l-cv1	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cv2	set-1	6	L-002	mcq	section:set-1:part-6	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cv2	set-1	6	L-002	mcq	object:t1-l-cv2	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cv3	set-1	6	L-002	mcq	section:set-1:part-6	draft	legacy_unverified	pending_T05	handled
item_unit	item:t1-l-cv3	set-1	6	L-002	mcq	object:t1-l-cv3	draft	legacy_unverified	pending_T05	handled
question_object	object:t1-l-cv4	set-1	6	L-002	mcq	section:set-1:part-6	draft	legacy_unverified	pending_T05	handled
