check_id	lane	object_id	blank_id	precondition	action_or_input	expected_observation	expected_outcome	expected_score	automation_level	evidence_status	blocking	owner	source_reference	notes
T12-DATA-001	data_identity	object:t1-r-cw2	na	live_source_available	reconstruct_source_text	source_sha256_591e04ee445b2367e1fdfc13373d6a727e42f305cebc1f8d777b58d88d220ada	not_applicable	na	documentary_static	verified_2026-08-13	no	engineering	src/data/mocks/toefl-set-1.ts	source_original_preserved
T12-DATA-002	data_identity	object:t1-r-cw2-v3	na	candidate_text_frozen	calculate_candidate_hash	candidate_sha256_cebce2395c03dc360098a045f97ec560d865ca2aee49bf20da504221380a8a3e	not_applicable	na	documentary_static	verified_2026-08-13	no	engineering	docs/toefl-2026-ctw-set1-publication-attestation-2026-08-13.md	implementation_must_match_hash
T12-DATA-003	data_identity	object:t1-r-cw2-v3	na	candidate_text_frozen	count_whitespace_delimited_tokens	76_words	not_applicable	na	documentary_static	verified_2026-08-13	no	content_editor	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	within_about_70_100
T12-DATA-004	data_identity	object:t1-r-cw2-v3	na	candidate_text_frozen	isolate_first_sentence	first_sentence_intact_sha256_484adf235348ca922d025eb1813bd6e156e9de4081b60e22736ab8f49d76cf79	not_applicable	na	documentary_static	verified_2026-08-13	no	content_editor	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	no_input_inside_first_sentence
T12-DATA-005	data_identity	object:t1-r-cw2-v3	na	first_sentence_intact	derive_even_tokens_2_through_20	exactly_10_unique_stable_blank_ids	not_applicable	na	documentary_static	verified_2026-08-13	no	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	positions_2_4_6_8_10_12_14_16_18_20
T12-DATA-006	data_identity	object:t1-r-cw2-v3	na	all_10_masks_present	concatenate_prefix_and_missing_letters	10_of_10_canonical_words_reconstructed	not_applicable	na	documentary_static	verified_2026-08-13	no	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	must_fail_closed_on_any_mismatch
T12-TOEFL-001	toefl_fidelity	object:t1-r-cw2-v3	na	current_ets_sources_accessible	revalidate_task_contract	academic_text_70_100_intact_first_sentence_alternating_half_words_10_missing_letter_inputs	not_applicable	na	documentary_external	verified_2026-08-13	no	toefl_reviewer	https://www.ets.org/content/dam/ets-org/pdfs/toefl/toefl-ibt-test-overview.pdf	practice_material_not_operational_replica
T12-TOEFL-002	toefl_fidelity	object:t1-r-cw2-v3	na	candidate_topic_general_science	review_required_knowledge	all_information_needed_is_in_text	not_applicable	na	human_editorial	pending_independent_review	yes	independent_reviewer	https://www.ets.org/toefl/test-takers/ibt/about/content/reading.html	cannot_self_approve
T12-BLANK-001	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-01	blank_rendered_with_prefix_prov	input_ides	reconstructs_provides	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-002	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	blank_rendered_with_prefix_li	input_ght	reconstructs_light	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-003	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-03	blank_rendered_with_prefix_he	input_at	reconstructs_heat	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-004	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-04	blank_rendered_with_prefix_ma	input_ke	reconstructs_make	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-005	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-05	blank_rendered_with_prefix_o	input_n	reconstructs_on	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-006	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-06	blank_rendered_with_prefix_poss	input_ible	reconstructs_possible	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-007	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-07	blank_rendered_with_prefix_ins	input_ide	reconstructs_inside	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-008	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-08	blank_rendered_with_prefix_s	input_un	reconstructs_sun	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-009	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-09	blank_rendered_with_prefix_pro	input_cess	reconstructs_process	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-BLANK-010	answer_contract	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-10	blank_rendered_with_prefix_nuc	input_lear	reconstructs_nuclear	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	missing_letters_only
T12-NORM-001	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	case_insensitive_english_policy	input_GHT	normalizes_to_ght	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	case_only
T12-NORM-002	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	outer_trim_policy	input_outer_spaces_ght	normalizes_to_ght	scored	1	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	trim_only_outside
T12-NORM-003	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	ascii_letters_policy	input_g_internal_space_ht	announced_invalid_no_silent_cleanup	invalid_input	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	internal_space_rejected
T12-NORM-004	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	ascii_letters_policy	input_ght_period	announced_invalid_no_punctuation_stripping	invalid_input	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	punctuation_rejected
T12-NORM-005	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	ascii_letters_policy	input_gh7	announced_invalid	invalid_input	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	digit_rejected
T12-NORM-006	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	exact_missing_length_policy	input_ghtextra	blocked_by_max_length_or_announced_invalid	invalid_input	0	unit_and_e2e_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	never_truncate_silently
T12-NORM-007	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	missing_letters_unit	input_light	full_word_not_accepted_as_missing_letters	invalid_input	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	prevents_current_scorer_regression
T12-NORM-008	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	block_closed	input_empty	empty_is_reconciled_and_announced	unanswered	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	presented_empty_counts_only_on_close
T12-NORM-009	normalization	object:t1-r-cw2-v3	item:t1-r-cw2-v3:blank-02	valid_length_and_charset	paste_ght	value_respects_same_validation_as_typing	scored	1	e2e_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	paste_kept_for_accessibility
T12-SCORE-001	scoring	object:t1-r-cw2-v3	all	all_10_presented	input_ides_ght_at_ke_n_ible_ide_un_cess_lear	10_scored_exact_match_outcomes	scored	10	unit_and_e2e_future	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	denominator_10
T12-SCORE-002	scoring	object:t1-r-cw2-v3	all	all_10_presented	input_provides_light_heat_make_on_possible_inside_sun_process_nuclear	full_words_fail_missing_letter_contract	invalid_or_mismatch	0	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	must_not_receive_10
T12-SCORE-003	scoring	object:t1-r-cw2-v3	all	10_presented_8_correct_1_wrong_1_empty	close_block	correct_8_incorrect_1_unanswered_1_reconcile_to_10	scored	8	unit_and_e2e_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	no_silent_drop
T12-SCORE-004	scoring	object:t1-r-cw2-v3	all	one_blank_not_presented_by_valid_route	close_block	not_presented_excluded_from_denominator	not_presented	na	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	configuration_must_explain_absence
T12-SCORE-005	scoring	object:t1-r-cw2-v3	all	one_blank_technical_failure	close_block	technical_failure_excluded_and_visible	technical_failure	na	unit_future	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	never_academic_failure
T12-SCORE-006	reporting	object:t1-r-cw2-v3	all	block_scored	open_result	show_local_raw_fraction_and_practice_partial_disclosure	not_applicable	na	e2e_future	pending_runtime	yes	product	docs/toefl-2026-fidelity-and-disclosure-contract.md	no_band_1_6_no_120_no_cefr_no_admission_claim
T12-UI-001	ui_accessibility	object:t1-r-cw2-v3	all	candidate_loaded	inspect_dom	exactly_10_text_inputs_in_reading_order	not_applicable	na	e2e_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	one_control_per_missing_word
T12-UI-002	ui_accessibility	object:t1-r-cw2-v3	all	10_inputs_rendered	inspect_accessible_names	10_unique_names_include_passage_index_blank_position_prefix_and_missing_length	not_applicable	na	e2e_and_human_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	answer_not_revealed
T12-UI-003	ui_accessibility	object:t1-r-cw2-v3	all	10_inputs_rendered	inspect_input_attributes	max_length_matches_missing_length_spellcheck_false_autocorrect_off_autocapitalize_off_autocomplete_off	not_applicable	na	e2e_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	browser_assistance_reduced
T12-UI-004	ui_accessibility	object:t1-r-cw2-v3	all	keyboard_only	press_tab_through_task	focus_moves_blank_01_through_blank_10_without_trap	not_applicable	na	e2e_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	logical_reading_order
T12-UI-005	ui_accessibility	object:t1-r-cw2-v3	all	viewport_320_and_zoom_200_percent	complete_task	no_horizontal_page_scroll_no_clipped_prefix_or_error_and_focus_visible	not_applicable	na	e2e_and_human_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	mobile_and_zoom_gate
T12-UI-006	ui_accessibility	object:t1-r-cw2-v3	all	invalid_or_empty_input	close_or_validate	error_and_saved_state_announced_in_text_and_live_region_not_color_only	not_applicable	na	e2e_and_human_future	pending_runtime	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	moderate_live_region
T12-UI-007	ui_accessibility	object:t1-r-cw2-v3	all	exam_mode_active	enter_answers	no_correct_answer_or_immediate_correctness_before_block_close	not_applicable	na	e2e_future	pending_runtime	yes	product	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	learn_mode_must_be_separate
T12-RIGHTS-001	rights	object:t1-r-cw2-v3	na	owner_attestation_document_exists	inspect_signature_fields	all_owner_declarations_complete_and_verifiable	not_applicable	na	human	pending_owner_signature	yes	content_owner	docs/toefl-2026-ctw-set1-publication-attestation-2026-08-13.md	0_of_1_owner_signature
T12-RIGHTS-002	rights	object:t1-r-cw2-v3	na	independent_review_section_exists	inspect_signature_fields	independent_editorial_rights_review_complete	not_applicable	na	human	pending_independent_signature	yes	independent_reviewer	docs/toefl-2026-ctw-set1-publication-attestation-2026-08-13.md	0_of_1_independent_signature
T12-RIGHTS-003	rights	object:t1-r-cw2-v3	na	external_query_scope_one_distinctive_phrase	search_exact_phrase	no_exact_full_sentence_match_in_reviewed_query	not_applicable	na	documentary_external	verified_limited_scope_2026-08-09	yes	rights_reviewer	docs/toefl-2026-complete-the-words-factual-rights-audit-2026-08-09.tsv	limited_search_does_not_clear_rights
