contract_row_id	rule_id	section	task_family	source_objects	source_units	current_visible_units	current_machine_denominator_units	current_capture_status	current_report_status	canonical_unit	response_kind	response_cardinality	max_raw_points	normalization_or_evaluation	required_renderer	required_outcome	aggregate_policy	blocker_ids	downstream_unit
T09-R001	R-001	reading	Complete the Words	40	240	240	240	captures_missing_letters_but_scores_full_word	collapsed_reading_aggregate_only	one_missing_letter_sequence	missing_letters_text	exactly_one_per_blank	1	unicode_nfc_outer_trim_english_casefold_exact_missing_sequence	word_gap_with_given_prefix_suffix_and_named_input	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_blank_unanswered_is_zero	DIV-010;R001-001	T12
T09-R002	R-002	reading	Read in Daily Life	100	100	100	100	selected_option_index	collapsed_reading_aggregate_only	one_selected_response_item	selected_option_id	exactly_one	1	exact_stable_option_id	visible_stimulus_stem_and_single_choice_group	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	ED-002;GOV-001	T13
T09-R003-SINGLE	R-003	reading	Read an Academic Passage single-select	100	100	100	100	selected_option_index	collapsed_reading_aggregate_only	one_selected_response_item	selected_option_id	exactly_one	1	exact_stable_option_id	visible_passage_stem_and_single_choice_group	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	R003-001;ED-002;GOV-001	T13
T09-R003-MULTI	R-003	reading	Read an Academic Passage multi-select local variant	20	20	0	0	omitted_by_default_renderer	absent	one_selected_response_item	selected_option_ids	exactly_select_count	1	exact_unordered_set_of_stable_option_ids	visible_passage_stem_instructions_count_and_multi_choice_group	machine_scored_or_invalidated_with_reason	one_point_only_for_exact_set_no_silent_partial_credit	DIV-011;R003-002;GOV-001	T13
T09-L001	L-001	listening	Listen and Choose a Response	100	100	100	100	selected_option_index	collapsed_listening_aggregate_only	one_selected_response_item	selected_option_id	exactly_one	1	exact_stable_option_id	audio_prompt_once_visual_context_stem_and_single_choice_group	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	L001-001;L001-002;AUD-001	T14
T09-L002	L-002	listening	Listen to a Conversation	80	80	80	80	selected_option_index	collapsed_listening_aggregate_only	one_question_after_shared_audio	selected_option_id	exactly_one	1	exact_stable_option_id	shared_audio_once_visual_speakers_then_forward_only_single_choice_items	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	AUD-001;L002-001;ED-002	T15
T09-L003	L-003	listening	Listen to an Announcement	60	60	60	60	selected_option_index	collapsed_listening_aggregate_only	one_question_after_shared_audio	selected_option_id	exactly_one	1	exact_stable_option_id	shared_audio_once_visual_context_then_forward_only_single_choice_items	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	AUD-001;ED-002	T15
T09-L004	L-004	listening	Listen to an Academic Talk	100	100	100	100	selected_option_index	collapsed_listening_aggregate_only	one_question_after_shared_audio	selected_option_id	exactly_one	1	exact_stable_option_id	shared_audio_once_visual_speaker_then_forward_only_single_choice_items	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	AUD-001;L004-001;L004-002;ED-002	T15
T09-W001	W-001;W-004	writing	Build a Sentence	120	120	120	120	ordered_tile_indices_without_required_context	composite_writing_band_only	one_contextual_sentence_reconstruction	ordered_tile_instance_ids	exactly_required_slot_count	1	exact_order_against_adjudicated_accepted_sequences	context_prompt_fixed_stem_slots_and_keyboard_operable_tile_bank	machine_scored_or_invalidated_with_reason	one_point_per_presented_scored_item_unanswered_is_zero	DIV-015;W001-001;W001-002;W001-003;W001-004	T16
T09-W002	W-002	writing	Write an Email	20	20	20	0	text_captured_then_self_rated	composite_writing_band_only	one_constructed_email_response	text_response	exactly_one	5	preserve_verbatim_then_apply_versioned_local_rubric_only	context_audience_purpose_requirements_editor_and_task_clock	pending_evaluation_scored_or_invalidated_with_reason	never_enter_numeric_aggregate_until_valid_evaluator_and_scoring_version	DIV-008;DIV-016;W002-001	T17
T09-W003	W-003	writing	Write for an Academic Discussion	20	20	20	0	text_captured_then_self_rated	composite_writing_band_only	one_constructed_discussion_response	text_response	exactly_one	5	preserve_verbatim_then_apply_versioned_local_rubric_only	question_participant_posts_editor_and_task_clock	pending_evaluation_scored_or_invalidated_with_reason	never_enter_numeric_aggregate_until_valid_evaluator_and_scoring_version	DIV-008;DIV-016;W003-001	T17
T09-S001	S-001	speaking	Listen and Repeat	100	100	100	0	no_oral_response_progress_auto_completed	composite_speaking_self_band_only	one_recorded_repetition	audio_response_ref	exactly_one	5	preserve_audio_and_metadata_then_apply_versioned_local_rubric_only	scenario_audio_once_recording_clock_permission_and_fallback	pending_evaluation_scored_technical_failure_or_invalidated	never_enter_numeric_aggregate_without_captured_valid_response_and_evaluator	DIV-017;S001-001;AUD-001	T18
T09-S002	S-002	speaking	Take an Interview	80	80	80	0	preparation_notes_substitute_for_oral_response	composite_speaking_self_band_only	one_recorded_interview_response	audio_response_ref	exactly_one	5	preserve_audio_and_metadata_then_apply_versioned_local_rubric_only	scenario_prompt_recording_clock_no_prep_permission_and_fallback	pending_evaluation_scored_technical_failure_or_invalidated	never_enter_numeric_aggregate_without_captured_valid_response_and_evaluator	DIV-018;DIV-019;S002-001;S002-002	T19
