# audit_id	toefl-2026-audio-technical-audit
# audit_version	2026-08-09.v1
# source_manifest	docs/toefl-2026-audio-manifest-2026-08-09.tsv
# source_manifest_sha256	4982abc724898d1b85b60f9605e981c25abcd390839ca9c80630a8c6b37d9913
# audio_fingerprint	dab2fdb8340d2dc72df4d70923985bdfd876174a922d646a3795bb39a5619842
# measurement_tool	FFmpeg_FFprobe_8.1.1
# loudness_contract	internal_-16_LUFS_plus_minus_2.5_not_ETS_requirement
# true_peak_contract	fail_above_0_dBTP_warn_above_minus_1_dBTP
# silence_contract	fail_leading_over_350ms_or_trailing_over_600ms_warn_internal_over_1600ms
# duplicate_contract	unique_MP3_and_PCM_hash_plus_wave_corr_over_0.98_and_envelope_corr_over_0.995
# duplicate_scan_top_pair	asset:toefl:set-5:part-5:listen-choose-3;asset:toefl:set-11:part-5:listen-choose-2
# duplicate_scan_top_wave_corr	0.18783
# duplicate_scan_top_envelope_corr	0.96785
# browser_contract	260_of_260_Chromium_AudioContext_decode_and_muted_HTMLAudio_playback_pass
# reuse_contract	technical_class_only_overall_class_pending_T07_T08
asset_id	set_id	part	task_rule	task_type	path	manifest_sha256	measured_sha256	manifest_bytes	measured_bytes	manifest_duration_ms	measured_duration_ms	codec	sample_rate_hz	channels	channel_layout	bitrate_bps	metadata_status	decode_status	decoder_warning	pcm_sha256	sample_count	sample_peak_dbfs	clipped_sample_count	dc_offset_dbfs	max_sample_delta_dbfs	integrated_lufs	loudness_range_lu	true_peak_dbtp	leading_silence_ms	trailing_silence_ms	max_internal_silence_ms	short_audible_fragment_count	hard_ending_status	near_duplicate_status	browser_status	fail_findings	warning_findings	technical_status	technical_reuse_class	action	owner	overall_reuse_status	release_status	reviewed_at	reviewer
asset:toefl:set-1:part-5:listen-choose-1	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-1.mp3	5c397a1458bbc2def111e50648c9e742c4a074fbbfdc742a3478faa6fd6fd076	5c397a1458bbc2def111e50648c9e742c4a074fbbfdc742a3478faa6fd6fd076	24912	24912	3040	3040	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	43911bcdb5b356cd35437cb4637e63be441bb76e971f8ffdf5ee61981075abc6	134064	-2.105	0	-63.611	-13.233	-14.81	0.2	-2.1	0	0	30	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	none	pass_automated_T06	A_technical_conserve_candidate	conserve_source_technical_candidate	T07_T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-5:listen-choose-2	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-2.mp3	8d276425d7a469d4280462c64cface44531b009a6a8aa12035e7d81357e745ad	8d276425d7a469d4280462c64cface44531b009a6a8aa12035e7d81357e745ad	26166	26166	3200	3200	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	72e4b980e3ae0fa3ab05910f6cd2c61ed7b254fce1e66b0630b0d0993e66c43c	141120	-1.195	0	-59.812	-17.594	-13.68	0.4	-1.19	0	0	170	0	warning_possible_hard_ending	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	TECH-CUT-001;TECH-LDN-003	pass_with_actionable_warning	A_technical_conserve_candidate	review_warning_in_T08_before_conserve	T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-5:listen-choose-3	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-3.mp3	03fcd6e06d67a8aade21f2492326d1b50fc697ba8a4e1b2e93d165a8f2f7172a	03fcd6e06d67a8aade21f2492326d1b50fc697ba8a4e1b2e93d165a8f2f7172a	27420	27420	3360	3360	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	f0750af4f8ff4aa291bf6b44e8119aac269e68a6d2410ec9e1545cb5f9128760	148176	-1.618	0	-67.237	-12.022	-15.07	1.2	-1.62	30	10	50	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	none	pass_automated_T06	A_technical_conserve_candidate	conserve_source_technical_candidate	T07_T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-5:listen-choose-4	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-4.mp3	11944be706b6c2165c5b11575adf8e45a556dd6b00d86d72c654107ec4979758	11944be706b6c2165c5b11575adf8e45a556dd6b00d86d72c654107ec4979758	24285	24285	2960	2960	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	d82c246342ffbb0e987bce35c0cfd93d4652a51f8338005d1bd7316cf73a9909	130536	-1.316	0	-62.748	-18.164	-14.62	0	-1.29	90	80	10	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	none	pass_automated_T06	A_technical_conserve_candidate	conserve_source_technical_candidate	T07_T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-5:listen-choose-5	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-5.mp3	3f2c2190bd33607ec3d0a8669b90f0e5e841e9c891585b5a0085a181439d9bee	3f2c2190bd33607ec3d0a8669b90f0e5e841e9c891585b5a0085a181439d9bee	24285	24285	2960	2960	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	58dca47653cc439b4283c756b7c0c83e70b41596469aefd7510994d72d03eb2e	130536	-1.859	0	-67.334	-12.664	-14.37	0	-1.84	40	0	40	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	none	pass_automated_T06	A_technical_conserve_candidate	conserve_source_technical_candidate	T07_T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-6:conversation	set-1	6	L-002	Listen to a Conversation	public/audio/toefl/set-1/conversation.mp3	dfe47b5aacf092cdeaad940111968c1413856b9c184c529abd92ea06a21c645b	dfe47b5aacf092cdeaad940111968c1413856b9c184c529abd92ea06a21c645b	515805	515805	64400	64400	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	3b719b106f5f2d48e981fc78dfb5c70c9c31bbcc4574afca1864f54ffebffc2d	2840040	-0.655	0	-67.795	-10.954	-14.97	2	-0.59	70	500	650	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	TECH-PEAK-003	pass_with_actionable_warning	A_technical_conserve_candidate	review_warning_in_T08_before_conserve	T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-7:announcement	set-1	7	L-003	Listen to an Announcement	public/audio/toefl/set-1/announcement.mp3	379645912b17f6a6ca37d66f0b5e5599bc435ed6775331da1150431e656448dd	379645912b17f6a6ca37d66f0b5e5599bc435ed6775331da1150431e656448dd	423645	423645	52880	52880	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	ac295f5b8d66b183e81ba354208bd9e9e0b8de796338a6ff00e5957c4285a063	2332008	-1.167	0	-63.983	-11.671	-15.78	2.8	-1.16	70	20	220	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	none	pass_automated_T06	A_technical_conserve_candidate	conserve_source_technical_candidate	T07_T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-8:academic-talk	set-1	8	L-004	Listen to an Academic Talk	public/audio/toefl/set-1/academic-talk.mp3	77c55ddb0db398c3372372a401664812ae2ff2ad01505cbbd843e493690e91d9	77c55ddb0db398c3372372a401664812ae2ff2ad01505cbbd843e493690e91d9	1112860	1112860	139040	139040	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	6a92bd9ae7995496c6c96286da7f960a4fab0c3a953ced95271b2694832093ce	6131664	-1.022	0	-68.507	-14.326	-18.26	3.5	-0.97	40	0	760	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	TECH-LDN-003;TECH-PEAK-003	pass_with_actionable_warning	A_technical_conserve_candidate	review_warning_in_T08_before_conserve	T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-12:repeat-1	set-1	12	S-001	Listen and Repeat	public/audio/toefl/set-1/repeat-1.mp3	6802849e7b9e1caa8b212bb811204d708306d9dc3caba5e743f35f2f7f48335d	6802849e7b9e1caa8b212bb811204d708306d9dc3caba5e743f35f2f7f48335d	12164	12164	1440	1440	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	5270062f991ec161692f2998923db3133a67b242a1b59d84b497f42c6d0c121d	63504	-1.485	0	-64.678	-16.953	-13.64	0	-1.47	30	40	70	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	TECH-LDN-003	pass_with_actionable_warning	A_technical_conserve_candidate	review_warning_in_T08_before_conserve	T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
asset:toefl:set-1:part-12:repeat-2	set-1	12	S-001	Listen and Repeat	public/audio/toefl/set-1/repeat-2.mp3	b6293b7f3481e30af575169049d493531c9be4af51d2e6e3f9a69f3f9037bafa	b6293b7f3481e30af575169049d493531c9be4af51d2e6e3f9a69f3f9037bafa	20315	20315	2480	2480	mp3	44100	1	mono	64000	pass_encoder_only	pass	none	81a356f3b6f5f2faa56a39c98a6bf193dcfa9e29e3a0e86bb07e3a20acfbe907	109368	-2.191	0	-60.761	-17.586	-13.63	0	-2.19	20	40	100	0	pass_no_edge_flag	pass_no_candidate	pass_chromium_audio_context_and_muted_playback	none	TECH-LDN-003	pass_with_actionable_warning	A_technical_conserve_candidate	review_warning_in_T08_before_conserve	T08	pending_T07_T08	blocked_not_validated	2026-08-09	Codex_automated_technical_audit
