# manifest_id	toefl-2026-audio-manifest
# manifest_version	2026-08-09.v1
# snapshot_date	2026-08-09
# official_registry	toefl-ibt-2026@2026-08-09.v2
# source_fingerprint	50b3b8d7dd04826cf625052e7910b844c305894d43b2eae5fda01f881d3d512d
# audio_fingerprint	dab2fdb8340d2dc72df4d70923985bdfd876174a922d646a3795bb39a5619842
# editorial_inventory	toefl-2026-editorial-inventory@2026-08-09.v1
# ffprobe_version	8.1.1
# source_scope	src/data/mocks/toefl-set-{1..20}.ts + public/audio/toefl/set-{1..20}/*.mp3
# source_asset_id_policy	blank_means_original_root_asset
# transcript_policy	canonical_blank_until_T07; candidate_ref_and_hash_preserve_source
asset_id	source_asset_id	asset_version	set_id	part	task_rule	task_type	stimulus_id	section_id	item_id	linked_item_ids	source_file	source_field	public_url	path	sha256	bytes	duration_ms	codec	sample_rate_hz	channels	channel_layout	bitrate_bps	loudness_lufs	true_peak_db	canonical_transcript	canonical_transcript_status	transcript_candidate_ref	transcript_candidate_sha256	transcript_candidate_chars	transcript_candidate_words	asr_transcript	asr_status	wer_or_diff	voice_ids	voice_roles	generator	model	settings	license_and_provenance	editorial_state	validation_status	technical_status	linguistic_status	human_status	reuse_class	reuse_status	reviewed_at	reviewer
asset:toefl:set-1:part-5:listen-choose-1		legacy_unversioned	set-1	5	L-001	Listen and Choose a Response	stimulus:t1-l-cr1:audio	section:set-1:part-5	item:t1-l-cr1	item:t1-l-cr1	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/listen-choose-1.mp3	public/audio/toefl/set-1/listen-choose-1.mp3	5c397a1458bbc2def111e50648c9e742c4a074fbbfdc742a3478faa6fd6fd076	24912	3040	mp3	44100	1	mono	64000				missing_source_pending_T07						not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-5:listen-choose-2		legacy_unversioned	set-1	5	L-001	Listen and Choose a Response	stimulus:t1-l-cr2:audio	section:set-1:part-5	item:t1-l-cr2	item:t1-l-cr2	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/listen-choose-2.mp3	public/audio/toefl/set-1/listen-choose-2.mp3	8d276425d7a469d4280462c64cface44531b009a6a8aa12035e7d81357e745ad	26166	3200	mp3	44100	1	mono	64000				missing_source_pending_T07						not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-5:listen-choose-3		legacy_unversioned	set-1	5	L-001	Listen and Choose a Response	stimulus:t1-l-cr3:audio	section:set-1:part-5	item:t1-l-cr3	item:t1-l-cr3	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/listen-choose-3.mp3	public/audio/toefl/set-1/listen-choose-3.mp3	03fcd6e06d67a8aade21f2492326d1b50fc697ba8a4e1b2e93d165a8f2f7172a	27420	3360	mp3	44100	1	mono	64000				missing_source_pending_T07						not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-5:listen-choose-4		legacy_unversioned	set-1	5	L-001	Listen and Choose a Response	stimulus:t1-l-cr4:audio	section:set-1:part-5	item:t1-l-cr4	item:t1-l-cr4	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/listen-choose-4.mp3	public/audio/toefl/set-1/listen-choose-4.mp3	11944be706b6c2165c5b11575adf8e45a556dd6b00d86d72c654107ec4979758	24285	2960	mp3	44100	1	mono	64000				missing_source_pending_T07						not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-5:listen-choose-5		legacy_unversioned	set-1	5	L-001	Listen and Choose a Response	stimulus:t1-l-cr5:audio	section:set-1:part-5	item:t1-l-cr5	item:t1-l-cr5	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/listen-choose-5.mp3	public/audio/toefl/set-1/listen-choose-5.mp3	3f2c2190bd33607ec3d0a8669b90f0e5e841e9c891585b5a0085a181439d9bee	24285	2960	mp3	44100	1	mono	64000				missing_source_pending_T07						not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-6:conversation		legacy_unversioned	set-1	6	L-002	Listen to a Conversation	stimulus:set-1:part-6:audio	section:set-1:part-6		item:t1-l-cv1;item:t1-l-cv2;item:t1-l-cv3;item:t1-l-cv4	src/data/mocks/toefl-set-1.ts	section.audioUrl	/audio/toefl/set-1/conversation.mp3	public/audio/toefl/set-1/conversation.mp3	dfe47b5aacf092cdeaad940111968c1413856b9c184c529abd92ea06a21c645b	515805	64400	mp3	44100	1	mono	64000				not_adjudicated_pending_T07	section:set-1:part-6.transcript	f856c97bfb3a9eb8d959c746fabae242e75f9841f29e2fe0eeb00e145d3b422b	1128	199		not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-7:announcement		legacy_unversioned	set-1	7	L-003	Listen to an Announcement	stimulus:set-1:part-7:audio	section:set-1:part-7		item:t1-l-an1;item:t1-l-an2;item:t1-l-an3	src/data/mocks/toefl-set-1.ts	section.audioUrl	/audio/toefl/set-1/announcement.mp3	public/audio/toefl/set-1/announcement.mp3	379645912b17f6a6ca37d66f0b5e5599bc435ed6775331da1150431e656448dd	423645	52880	mp3	44100	1	mono	64000				not_adjudicated_pending_T07	section:set-1:part-7.transcript	f5a46461ae99e09e3104853a18823e4970d549c77f55d87f1807e0a466ff528c	888	151		not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-8:academic-talk		legacy_unversioned	set-1	8	L-004	Listen to an Academic Talk	stimulus:set-1:part-8:audio	section:set-1:part-8		item:t1-l-at1;item:t1-l-at2;item:t1-l-at3;item:t1-l-at4;item:t1-l-at5	src/data/mocks/toefl-set-1.ts	section.audioUrl	/audio/toefl/set-1/academic-talk.mp3	public/audio/toefl/set-1/academic-talk.mp3	77c55ddb0db398c3372372a401664812ae2ff2ad01505cbbd843e493690e91d9	1112860	139040	mp3	44100	1	mono	64000				not_adjudicated_pending_T07	section:set-1:part-8.transcript	4beee4c089c30e1c8a02b09ece23095e61849640b551fd30f07f0c5ac38775bd	1861	314		not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-12:repeat-1		legacy_unversioned	set-1	12	S-001	Listen and Repeat	stimulus:t1-s-rp1:audio	section:set-1:part-12	item:t1-s-rp1	item:t1-s-rp1	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/repeat-1.mp3	public/audio/toefl/set-1/repeat-1.mp3	6802849e7b9e1caa8b212bb811204d708306d9dc3caba5e743f35f2f7f48335d	12164	1440	mp3	44100	1	mono	64000				not_adjudicated_pending_T07	object:t1-s-rp1.targetSentence	57b2f27e4afb6b615e97952aa5a9572a2b3c7d5baadac3dc4b24c41a4c91453d	21	4		not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
asset:toefl:set-1:part-12:repeat-2		legacy_unversioned	set-1	12	S-001	Listen and Repeat	stimulus:t1-s-rp2:audio	section:set-1:part-12	item:t1-s-rp2	item:t1-s-rp2	src/data/mocks/toefl-set-1.ts	question.audioUrl	/audio/toefl/set-1/repeat-2.mp3	public/audio/toefl/set-1/repeat-2.mp3	b6293b7f3481e30af575169049d493531c9be4af51d2e6e3f9a69f3f9037bafa	20315	2480	mp3	44100	1	mono	64000				not_adjudicated_pending_T07	object:t1-s-rp2.targetSentence	bdf6b1ae56aa4a040aea12dae9726813734756319d8f7c06b8ab4cfe7c7376cf	43	8		not_run_pending_T07		not_recorded	not_recorded	not_recorded	not_recorded	not_recorded	not_recorded_pending_rights_review	draft	legacy_unverified	inventoried_pending_T06	pending_T07	not_reviewed_pending_T08		pending_T06_T07_T08		not_assigned
