transition_id	mode_scope	from_attempt	from_section	from_unit	event	guard	to_attempt	to_section	to_unit	clock_scope	clock_effect	navigation_effect	irreversible	outcome_effect	idempotency_key	failure_policy	disclosure_or_ui	owner_unit	official_rules
TMN-TR-001	exam_fixed|exam_adaptive	created	none	none	VALIDATE_AND_OPEN_DIRECTIONS	composition; versions; clocks; disclosures; media capabilities; accommodation profile valid	directions	reading	directions	directions	no base clock starts	only directions and preflight	no	none	attempt_id:event	fail closed before start	announce mode; route kind; untimed directions	T10|T11	GEN-001|GEN-006
TMN-TR-002	exam_fixed|exam_adaptive	directions	reading	directions	START_EXAM	student confirmation; writer lease acquired	active	reading	reading_stage_1	reading_stage_1	create authoritative deadline	focus first Reading item; Back limited to active module	yes	first included units become presented as rendered	attempt_id:START_EXAM	remain in directions with accessible error	announce module 1 and clock	T10|T12|T13	GEN-001|GEN-002|ADP-001|ADP-004
TMN-TR-003	learn|practice	created|directions	none|reading	none|directions	START_LOCAL_MODE	local timing and navigation policy disclosed	active	configured	configured	practice_global_current|local	start only the declared local clock	use declared flexible or fixed navigation	no	presentation follows composition	attempt_id:START_LOCAL_MODE	do not infer exam mode	show DS-B-002 when current B flow is used	T10|T11	GEN-006
TMN-TR-004	exam_fixed|exam_adaptive	active	reading	reading_stage_1|reading_stage_2	READING_NEXT	target item belongs to active module; clock running	active	reading	same_module_next_item	same	continue same deadline	move focus forward within module	no	target item becomes presented	attempt_id:transition_seq	reject stale or out-of-module target	announce item position and remaining time	T12|T13	ADP-004
TMN-TR-005	exam_fixed|exam_adaptive	active	reading	reading_stage_1|reading_stage_2	READING_BACK	target item was presented in active module; clock running	active	reading	same_module_previous_item	same	continue same deadline	move focus backward within module only	no	no outcome closes	attempt_id:transition_seq	block module or section boundary	explain that Back is limited to this module	T12|T13	ADP-003|ADP-004
TMN-TR-006	exam_fixed|exam_adaptive	active	reading	reading_stage_1	SUBMIT_READING_STAGE_1	explicit confirmation if presented units remain unanswered	active	reading	routing_pending	reading_stage_1	stop and seal deadline	disable all module 1 navigation	yes	close all stage 1 units under T09	attempt_id:reading_stage_1:CLOSE	return validation error without closing	warn that module 1 cannot be reopened	T10|T12|T13	ADP-002|ADP-003
TMN-TR-007	exam_fixed|exam_adaptive	active	reading	reading_stage_1	EXPIRE_READING_STAGE_1	authoritative deadline reached	active	reading	routing_pending	reading_stage_1	expire and seal once	disable all module 1 navigation	yes	close presented units; retain not_presented distinction	attempt_id:reading_stage_1:EXPIRE	idempotent retry uses prior close	announce expiry and routing transition	T10|T11	ADP-002|ADP-003
TMN-TR-008	exam_fixed	active	reading	routing_pending	SELECT_FIXED_READING_ROUTE	predetermined route belongs to composition	active	reading	reading_stage_2_ready	none	no clock until activation	module 1 remains sealed	yes	record route_id; no scoring effect	attempt_id:reading:ROUTE	route failure blocks stage 2	label route fixed and non-adaptive	T10|T11	ADP-003
TMN-TR-009	exam_adaptive	active	reading	routing_pending	SELECT_ADAPTIVE_READING_ROUTE	sealed stage 1 snapshot; T24 policy version; no prior decision	active	reading	reading_stage_2_ready	none	no clock until activation	module 1 remains sealed	yes	record decision_id; route_id; snapshot hash	attempt_id:reading:ROUTE	route_state failed; never choose a default	label adaptive WeLearn; never ETS adaptation	T24|T25	ADP-001|ADP-002|ADP-003
TMN-TR-010	exam_fixed|exam_adaptive	active	reading	routing_pending	ROUTE_FAILED	selector missing; invalid; timeout; or inconsistent	invalidated	reading	route_failed	none	no new clock starts	block forward navigation	yes	affected attempt cannot receive complete result	attempt_id:reading:ROUTE_FAILED	preserve evidence and offer a new attempt only	accessible technical error without blame	T11|T24	ADP-002|ADP-003
