gate_id	gate_requirement	covered_check_ids	current_evidence	remaining_evidence	status	blocking	owner	source_reference	notes
T12-GATE-01	render_76_words_first_sentence_intact_10_blanks_positions_2_20	T12-DATA-002|T12-DATA-003|T12-DATA-004|T12-DATA-005|T12-UI-001|T12-SURFACE-001	candidate_and_positions_hash_pinned	runtime_render_and_e2e	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	gate_implementation_requirement_1
T12-GATE-02	10_unique_ids_and_reconciled_outcomes	T12-DATA-005|T12-DATA-006|T12-BLANK-001..010|T12-SCORE-001|T12-SCORE-003|T12-SCORE-004|T12-SCORE-005|T12-SCORE-007|T12-SCORE-008	10_stable_candidate_ids_defined	unit_integration_and_e2e_outcome_reconciliation	pending_runtime	yes	engineering	docs/toefl-2026-data-render-scoring-contract-2026-08-09.md	gate_implementation_requirement_2
T12-GATE-03	missing_letters_score_10_full_words_never_score_10	T12-BLANK-001..010|T12-NORM-007|T12-SCORE-001|T12-SCORE-002	exact_missing_letter_contract_defined	runtime_scorer_tests	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.tsv	gate_implementation_requirement_3
T12-GATE-04	normalization_is_explicit_and_fail_closed	T12-NORM-001..009	case_trim_charset_length_and_paste_policy_defined	unit_and_e2e_validation	pending_runtime	yes	engineering	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	gate_implementation_requirement_4
T12-GATE-05	reload_back_next_and_double_close_preserve_state_and_idempotency	T12-PERSIST-001|T12-PERSIST-002|T12-PERSIST-003|T12-PERSIST-004|T12-PERSIST-005	T10_T11_contracts_closed	runtime_persistence_navigation_and_idempotency_tests	pending_runtime	yes	engineering	docs/toefl-2026-attempt-privacy-scoring-contract-2026-08-09.md	gate_implementation_requirement_5
T12-GATE-06	keyboard_names_errors_focus_reflow_screen_reader_zoom_preferences	T12-UI-002|T12-UI-003|T12-UI-004|T12-UI-005|T12-UI-006|T12-UI-008|T12-UI-009|T12-UI-010	accessibility_acceptance_contract_defined	e2e_and_independent_manual_accessibility_review	pending_runtime_and_human	yes	accessibility_reviewer	docs/toefl-2026-complete-the-words-pilot-audit-2026-08-09.md	gate_implementation_requirement_6
T12-GATE-07	result_is_local_partial_welearn_fraction_not_official_scale	T12-SCORE-006|T12-SURFACE-005|T12-SEC-001|T12-SEC-002	disclosure_and_privacy_contracts_defined	runtime_copy_payload_and_log_e2e	pending_runtime	yes	product	docs/toefl-2026-fidelity-and-disclosure-contract.md	gate_implementation_requirement_7
T12-GATE-08	source_derivation_contract_and_implemented_hashes_are_versioned	T12-DATA-001|T12-DATA-002|T12-DATA-007|T12-REPO-004|T12-REPO-005|T12-REPO-006	candidate_source_and_targeted_surface_hashes_pinned	fresh_current_main_branch_post_implementation_hash_manifest_and_diff_review	pending_runtime	yes	repository_reviewer	docs/toefl-2026-ctw-set1-publication-attestation-2026-08-13.md	gate_implementation_requirement_8
T12-GATE-09	provenance_rights_and_independent_editorial_review_recorded	T12-TOEFL-002|T12-RIGHTS-001|T12-RIGHTS-002|T12-RIGHTS-003|T12-FACT-001	factual_sources_and_fail_closed_attestation_exist	owner_signature_independent_review_and_signature	pending_human	yes	content_owner	docs/toefl-2026-ctw-set1-publication-attestation-2026-08-13.md	gate_implementation_requirement_9
T12-GATE-10	no_audio_manifest_or_pipeline_change	T12-REPO-002|T12-REPO-005	current_targeted_diff_has_no_audio	post_implementation_targeted_diff_recheck	pending_final_diff	yes	audio_reviewer	docs/toefl-2026-alignment-loop.md	gate_implementation_requirement_10_audio_deferred
T12-GATE-11	public_route_uses_ctw_and_preserves_16_mcq_as_honest_practice_a	T12-SURFACE-001|T12-SURFACE-002|T12-SURFACE-003|T12-REPO-005	legacy_inventory_and_current_defect_pinned	route_reclassification_render_and_e2e	pending_runtime	yes	product	docs/toefl-2026-complete-the-words-learning-surface-audit-2026-08-09.tsv	gate_implementation_requirement_11
T12-GATE-12	title_metadata_faq_jsonld_copy_and_interaction_agree	T12-SURFACE-004|T12-SURFACE-005|T12-REPO-004	current_ctw_seo_object_hash_and_claim_defect_pinned	static_metadata_and_browser_assertions	pending_runtime	yes	product	src/data/practica-exams/seo-catalog.ts	gate_implementation_requirement_12
