block_id	set_id	source_file	genre	instruction	source_word_count	source_text_sha256	current_blank_count	current_first_sentence_blank_count	current_half_length_compatible	current_zero_missing_count	official_genre_match	official_length_match	current_exact_ten	current_ctw_status	candidate_target_words	candidate_visible_prefixes	candidate_missing_letters	candidate_reconstruction_count	candidate_token_issue	candidate_mask_status	language_status	fact_status	internal_similarity_status	external_similarity_status	finding_ids	provenance_commit	provenance_claim	rights_status	reuse_class	proposed_action	independent_review_status	implementation_status	release_status
t1-r-cw1	set-1	src/data/mocks/toefl-set-1.ts	personal_message	A student is writing to a friend about the weekend.	64	3e808c022686485130372e37e4bf8b2206dbc69e8916e778fc81472d04dc4da6	6	1	5	0	no	no	no	fail_six_blanks_full_word_keys	not_applicable	not_applicable	not_applicable	0	none	not_applicable_official_genre	language_pass_initial	not_applicable_nonfactual	no_high_similarity_pair_at_threshold	not_sampled_external	CTW-COUNT-001|CTW-KEY-001|CTW-GENRE-001|CTW-LEN-001|CTW-FIRST-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	internal_origin_pending_owner_attestation_similarity_and_independent_review	C_reclassify_as_skill_practice_A	preserve_text_outside_official_CTW	pending	candidate_documented_pending_code_authorization	blocked
t1-r-cw2	set-1	src/data/mocks/toefl-set-1.ts	academic_text	The following is from an article about the sun.	79	591e04ee445b2367e1fdfc13373d6a727e42f305cebc1f8d777b58d88d220ada	6	1	4	0	yes	yes	no	fail_six_blanks_full_word_keys	provides|light|heat|make|on|possible|inside|sun|process|nuclear	prov|li|he|ma|o|poss|ins|s|pro|nuc	ides|ght|at|ke|n|ible|ide|un|cess|lear	10	none	mechanically_derivable	language_pass_initial	needs_factual_precision	no_high_similarity_pair_at_threshold	no_exact_full_sentence_match_in_query	CTW-COUNT-001|CTW-KEY-001|CTW-FIRST-001|CTW-FACT-AUDIT-2026-08-09	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	blocked_owner_attestation_search_limit_and_independent_review	B_fact_repair_then_C_derive	preserve_source_create_v3_fact_repair_then_derive	pending	candidate_documented_pending_code_authorization	blocked
t2-r-cw1	set-2	src/data/mocks/toefl-set-2.ts	personal_message	A student is writing to a professor to ask for a reference.	73	03504cffec58e70fc4b4f4f13b115d20f234713a43a35cec24cb079fe5c94715	6	2	3	0	no	yes	no	fail_six_blanks_full_word_keys	not_applicable	not_applicable	not_applicable	0	none	not_applicable_official_genre	language_pass_initial	not_applicable_nonfactual	no_high_similarity_pair_at_threshold	not_sampled_external	CTW-COUNT-001|CTW-KEY-001|CTW-GENRE-001|CTW-FIRST-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	internal_origin_pending_owner_attestation_similarity_and_independent_review	C_reclassify_as_skill_practice_A	preserve_text_outside_official_CTW	pending	candidate_documented_pending_code_authorization	blocked
t2-r-cw2	set-2	src/data/mocks/toefl-set-2.ts	academic_text	The following is from an article about penguins.	76	123f27b206541fa6eeb54d05e55df92fc5709dadfe251c6e17758b9268047a36	6	1	2	0	yes	yes	no	fail_six_blanks_full_word_keys	wings|become|that|them|quickly|the|in|of|Most|live	wi|bec|th|th|qui|t|i|o|Mo|li	ngs|ome|at|em|ckly|he|n|f|st|ve	10	none	mechanically_derivable	language_pass_initial	needs_species_qualification	no_high_similarity_pair_at_threshold	no_exact_full_sentence_match_in_query	CTW-COUNT-001|CTW-KEY-001|CTW-FIRST-001|CTW-FACT-AUDIT-2026-08-09	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	blocked_owner_attestation_search_limit_and_independent_review	B_species_precision_then_C_derive	preserve_source_qualify_species_then_derive	pending	candidate_documented_pending_code_authorization	blocked
t3-r-cw1	set-3	src/data/mocks/toefl-set-3.ts	personal_message	A student is writing to a language school.	68	e39ad8bcbbdfeb5715d3b7e8518c03230208a426f8b2cecec34b8bff227746d6	6	1	3	0	no	no	no	fail_six_blanks_full_word_keys	not_applicable	not_applicable	not_applicable	0	none	not_applicable_official_genre	language_pass_initial	not_applicable_nonfactual	no_high_similarity_pair_at_threshold	not_sampled_external	CTW-COUNT-001|CTW-KEY-001|CTW-GENRE-001|CTW-LEN-001|CTW-FIRST-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	internal_origin_pending_owner_attestation_similarity_and_independent_review	C_reclassify_as_skill_practice_A	preserve_text_outside_official_CTW	pending	candidate_documented_pending_code_authorization	blocked
t3-r-cw2	set-3	src/data/mocks/toefl-set-3.ts	academic_text	The following is from an article about the brain.	77	e9c3a6478ce494b62289be725f6f1c0318b47255cc7eeecf45fc9a0615a0122b	6	1	3	0	yes	yes	no	fail_six_blanks_full_word_keys	contains|of|cells|neurons|send|to|another|signals|us|think	cont|o|ce|neu|se|t|ano|sig|u|th	ains|f|lls|rons|nd|o|ther|nals|s|ink	10	none	mechanically_derivable	language_pass_initial	needs_editorial_precision	no_high_similarity_pair_at_threshold	no_exact_full_sentence_match_in_query	CTW-COUNT-001|CTW-KEY-001|CTW-FIRST-001|CTW-FACT-AUDIT-2026-08-09	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	blocked_owner_attestation_search_limit_and_independent_review	B_editorial_precision_then_C_derive	preserve_source_remove_unverifiable_superlative_then_derive	pending	candidate_documented_pending_code_authorization	blocked
t4-r-cw1	set-4	src/data/mocks/toefl-set-4.ts	personal_message	A student is writing to report a problem in a dormitory.	70	188c87baef8f986a716e4d8a823c239a1bc61fbc1101cf8dbb08bfa82a2f45b6	6	1	3	0	no	yes	no	fail_six_blanks_full_word_keys	not_applicable	not_applicable	not_applicable	0	none	not_applicable_official_genre	language_pass_initial	not_applicable_nonfactual	near_duplicate_heat_01_jaccard3_0.2427_cosine_0.8080	sample_no_exact_match	CTW-COUNT-001|CTW-KEY-001|CTW-GENRE-001|CTW-FIRST-001|SIM-INTERNAL-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	internal_origin_pending_owner_attestation_similarity_and_independent_review	B_deduplicate_then_reclassify_A	preserve_both_sources_adjudicate_overlap_then_reclassify	pending	candidate_documented_pending_code_authorization	blocked
t4-r-cw2	set-4	src/data/mocks/toefl-set-4.ts	academic_text	The following is from an article about ants.	72	8ea99655e53aed9cae07a13ae7ea49fef7f357c9498d962ad583bcb26cb544a4	6	1	5	0	yes	yes	no	fail_six_blanks_full_word_keys	are|for|highly|living|large|where|ant|a|role|search	a|f|hig|liv|la|wh|a|[unresolved]|ro|sea	re|or|hly|ing|rge|ere|nt|[unresolved]|le|rch	9	p16:one_letter:a	pending_tokenization_adjudication	language_pass_initial	needs_factual_and_similarity_repair	no_high_similarity_pair_at_threshold	exact_sentence_match_preexisting_AnimalStart_2025	CTW-COUNT-001|CTW-KEY-001|CTW-FIRST-001|CTW-TOKEN-UNVERIFIED-001|CTW-FACT-AUDIT-2026-08-09|RIGHTS-EXACT-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	blocked_exact_match_owner_attestation_rewrite_and_independent_review	B_fact_and_similarity_rewrite_then_C_derive	preserve_source_fact_repair_independent_rewrite_then_derive	pending	candidate_documented_pending_code_authorization	blocked
t5-r-cw1	set-5	src/data/mocks/toefl-set-5.ts	personal_message	A student is writing a short message to a classmate.	69	c6a2b70839114c4e43f9afd70a19ec29b391d5d4929333747fb03c76778d2ee3	6	1	3	0	no	no	no	fail_six_blanks_full_word_keys	not_applicable	not_applicable	not_applicable	0	none	not_applicable_official_genre	language_pass_initial	not_applicable_nonfactual	no_high_similarity_pair_at_threshold	not_sampled_external	CTW-COUNT-001|CTW-KEY-001|CTW-GENRE-001|CTW-LEN-001|CTW-FIRST-001	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	internal_origin_pending_owner_attestation_similarity_and_independent_review	C_reclassify_as_skill_practice_A	preserve_text_outside_official_CTW	pending	candidate_documented_pending_code_authorization	blocked
t5-r-cw2	set-5	src/data/mocks/toefl-set-5.ts	academic_text	The following is from an article about sleep.	79	5e72927c41dc5c7ca252e69d2a279991ff9a544fbde6a02ae4fcad8a86f1c3e5	6	1	1	0	yes	yes	no	fail_six_blanks_full_word_keys	sleep|brain|not|shut|it|active|memories|clearing|products|who	sl|br|n|sh|i|act|memo|clea|prod|w	eep|ain|ot|ut|t|ive|ries|ring|ucts|ho	10	none	mechanically_derivable	language_pass_initial	needs_evidence_qualification	no_high_similarity_pair_at_threshold	no_exact_full_sentence_match_in_query	CTW-COUNT-001|CTW-KEY-001|CTW-FIRST-001|CTW-FACT-AUDIT-2026-08-09	58c2fb0c84f955b1c249708b0fbd1bf0dbb14e43	commit_message_original_WeLearn_AI_coauthored	blocked_owner_attestation_search_limit_and_independent_review	B_evidence_precision_then_C_derive	preserve_source_qualify_evidence_then_derive	pending	candidate_documented_pending_code_authorization	blocked
