check_id	verdict	evidence	blocking	remaining_action
T12-DATA-001	verified_2026-08-14	server-only v2 source hash 591e04ee... preserved by check:toefl-ctw	no	none
T12-DATA-002	verified_2026-08-14	candidate hash cebce239... reproduced by check:toefl-ctw	no	none
T12-DATA-003	verified_2026-08-14	candidate reconstructs to 76 words	no	none
T12-DATA-004	verified_2026-08-14	first sentence hash 484adf23... reproduced	no	none
T12-DATA-005	verified_2026-08-14	10 stable unique blank ids in positions 2 through 20	no	none
T12-DATA-006	verified_2026-08-14	10 of 10 prefix plus missing-letter reconstructions pass	no	none
T12-DATA-007	verified_2026-08-14	implemented runtime candidate hash matches signed candidate	no	none
T12-TOEFL-001	verified_2026-08-14	implementation matches the revalidated T12 missing-letter contract	no	none
T12-TOEFL-002	accepted_owner_waiver_2026-08-14	owner explicitly waived the internal second-person TOEFL/editorial review; no independent review is claimed	no	none
T12-BLANK-001	verified_2026-08-14	unit and Chromium missing letters ides	no	none
T12-BLANK-002	verified_2026-08-14	unit and Chromium missing letters ght	no	none
T12-BLANK-003	verified_2026-08-14	unit and Chromium missing letters at	no	none
T12-BLANK-004	verified_2026-08-14	unit and Chromium missing letters ke	no	none
T12-BLANK-005	verified_2026-08-14	unit and Chromium missing letters n	no	none
T12-BLANK-006	verified_2026-08-14	unit and Chromium missing letters ible	no	none
T12-BLANK-007	verified_2026-08-14	unit and Chromium missing letters ide	no	none
T12-BLANK-008	verified_2026-08-14	unit and Chromium missing letters un	no	none
T12-BLANK-009	verified_2026-08-14	unit and Chromium missing letters cess	no	none
T12-BLANK-010	verified_2026-08-14	unit and Chromium missing letters lear	no	none
T12-NORM-001	verified_2026-08-14	case-insensitive unit assertion passes	no	none
T12-NORM-002	verified_2026-08-14	outer trim unit assertion passes	no	none
T12-NORM-003	verified_2026-08-14	internal space rejected without cleanup	no	none
T12-NORM-004	verified_2026-08-14	punctuation rejected without cleanup	no	none
T12-NORM-005	verified_2026-08-14	digit rejected and retained visibly in Chromium	no	none
