check_id	verdict	evidence	blocking	remaining_action
T13-DATA-001	verified_2026-08-14	Daily Life retains two public blocks with 3 plus 2 items	no	none
T13-DATA-002	verified_2026-08-14	Daily texts measure 68 and 80 words within ETS overview range	no	none
T13-DATA-003	verified_2026-08-14	Academic v2 measures 187 words and has five official-family items	no	none
T13-DATA-004	verified_2026-08-14	one multi-select is preserved and labeled WeLearn supplementary	no	none
T13-DATA-005	verified_2026-08-14	eleven unique item ids and forty-four unique stable option ids	no	none
T13-DATA-006	verified_2026-08-14	public data contains no key fields or server import	no	none
T13-DATA-007	verified_2026-08-14	legacy academic runtime source preserved server-side at pinned hash 276ee66e...	no	none
T13-TOEFL-001	verified_2026-08-14	ETS current Reading page lists Daily Life and Academic Passage	no	none
T13-TOEFL-002	verified_2026-08-14	Daily Life text lengths and 3 plus 2 item composition match current overview unit	no	none
T13-TOEFL-003	verified_2026-08-14	Academic passage is near 200 words with five official-family questions	no	none
T13-TOEFL-004	verified_2026-08-14	supplementary multi-select is not represented as an official sixth question	no	none
T13-TOEFL-005	accepted_owner_waiver_2026-08-14	owner waived second-person TOEFL/editorial review; no independence claimed	no	none
T13-EDIT-001	verified_2026-08-14	each single-select has one text-supported best answer	no	none
T13-EDIT-002	verified_2026-08-14	distractors remain grammatically parallel and plausible	no	none
T13-EDIT-003	verified_2026-08-14	Green Sahara causality is qualified and does not claim climate as sole cause	no	none
T13-EDIT-004	verified_2026-08-14	primary scientific sources support climate fauna timing and movement claims	no	none
T13-RIGHTS-001	accepted_owner_attestation_2026-08-14	José David Duarte Silva states WeLearn creation and rights	no	none
T13-RIGHTS-002	accepted_owner_risk_2026-08-14	four exact-phrase public searches found no complete passage or exact queried phrase	no	none
T13-RIGHTS-003	verified_2026-08-14	results expose local outcomes but no private key before close	no	none
T13-SCORE-001	verified_2026-08-14	ten singles plus one multi reconcile to 11 of 11	no	none
T13-SCORE-002	verified_2026-08-14	wrong single scores zero and stays in denominator	no	none
T13-SCORE-003	verified_2026-08-14	unordered exact multi set scores one point	no	none
T13-SCORE-004	verified_2026-08-14	partial multi gets zero with incomplete-selection outcome	no	none
T13-SCORE-005	verified_2026-08-14	unknown option invalidates and leaves denominator	no	none
T13-SCORE-006	verified_2026-08-14	not-presented items reconcile and leave denominator	no	none
T13-SCORE-007	verified_2026-08-14	impossible configuration fails closed	no	none
T13-SCORE-008	verified_2026-08-14	repeated close is deterministic	no	none
T13-SEC-001	verified_2026-08-14	answer key module imports server-only	no	none
T13-SEC-002	verified_2026-08-14	client public practice and mock never import private key	no	none
T13-SEC-003	verified_2026-08-14	route validates object attempt close response and presented ids	no	none
T13-SEC-004	verified_2026-08-14	endpoint logs no responses prompts keys PII or secrets	no	none
T13-SURFACE-001	verified_2026-08-14	Daily public route exposes the interactive fixed Set 1 above preserved guide	no	none
T13-SURFACE-002	verified_2026-08-14	Academic public route exposes five plus separately labeled supplement	no	none
T13-SURFACE-003	verified_2026-08-14	Set 1 renders all new types and the shared client handles legacy multiselect	no	none
T13-SURFACE-004	verified_2026-08-14	entry and result disclose fixed nonadaptive nonofficial practice	no	none
T13-PERSIST-001	verified_2026-08-14	public Daily answers and focus restore after reload	no	none
T13-PERSIST-002	verified_2026-08-14	mock Reading selections and focus restore after reload	no	none
T13-PERSIST-003	verified_2026-08-14	technical failure preserves selected answers	no	none
T13-PERSIST-004	verified_2026-08-14	technical failure creates no academic penalty or result	no	none
T13-UI-001	verified_2026-08-14	Daily has five native fieldsets and twenty radios	no	none
T13-UI-002	verified_2026-08-14	Academic has five radio groups and four supplementary checkboxes	no	none
T13-UI-003	verified_2026-08-14	fieldset legend hint count and result are programmatically associated	no	none
T13-UI-004	verified_2026-08-14	third multi selection is prevented and announced	no	none
T13-UI-005	verified_2026-08-14	correctness is absent before close and textual after close	no	none
T13-UI-006	verified_2026-08-14	320 px and 200 percent equivalent zoom have no page overflow	no	none
T13-UI-007	verified_2026-08-14	dark preference reduced motion and visible focus checks pass	no	none
T13-UI-008	verified_2026-08-14	result separates official-family five from supplementary item	no	none
T13-UI-009	verified_2026-08-14	Chromium T13 passes 5 of 5 end-to-end scenarios	no	none
T13-UI-010	verified_owner_voiceover_2026-08-14	José David Duarte Silva completed the manual T13 VoiceOver checklist and declared VoiceOver T13 aprobado	no	none
T13-REPO-001	verified_2026-08-14	zero mp3 transcript TTS ElevenLabs Whisper or product audio pipeline changes	no	none
T13-REPO-002	verified_2026-08-14	branch fast-forwarded to canonical main f9296ce2; clean TypeScript full 1360-route build and production T12 plus T13 Chromium 11 of 11 pass	no	none
