# audit_id	toefl-2026-audio-linguistic-audit
# audit_version	2026-08-09.v1
# source_manifest	docs/toefl-2026-audio-manifest-2026-08-09.tsv
# source_manifest_sha256	4982abc724898d1b85b60f9605e981c25abcd390839ca9c80630a8c6b37d9913
# technical_audit	docs/toefl-2026-audio-technical-audit-2026-08-09.tsv
# technical_audit_sha256	21c15c0f8eaa63b17ab5d17f74e9aa8678da51ca00624bae6887ab922419653f
# source_fingerprint	50b3b8d7dd04826cf625052e7910b844c305894d43b2eae5fda01f881d3d512d
# audio_fingerprint	dab2fdb8340d2dc72df4d70923985bdfd876174a922d646a3795bb39a5619842
# asr_engine	openai-whisper
# asr_release	20250625
# asr_model	small
# asr_model_sha256	9ecf779972d90ba49c06d968637d720dd632c55bbf19d441fb42bf17a411e794
# asr_settings	language=en;task=transcribe;device=cpu;fp16=false;temperature=0;beam_size=5;condition_on_previous_text=false;word_timestamps=false;threads=4
# normalization	Whisper_EnglishTextNormalizer_plus_source_speaker_label_removal
# asr_output_fingerprint	11e9a1bbc787c8b434b15958969e81f71325a231c10df82957d44d4e1df79c0e
# asr_transcript_fingerprint	ff7a24687edbbccd7b26da98bbc00ffc36bd5a33026bbae69628955af8fc6242
# canonical_contract	ASR_is_detector_only_all_canonical_transcripts_pending_human_T08
# release_contract	all_assets_blocked_not_validated
asset_id	set_id	part	task_rule	task_type	path	audio_sha256	technical_status	source_candidate_kind	source_candidate_ref	source_candidate_sha256	source_candidate_text	asr_model	asr_model_release	asr_language	asr_transcript	asr_transcript_sha256	source_normalized_sha256	asr_normalized_sha256	reference_words	asr_words	gross_wpm_descriptive	wer	substitutions	deletions	insertions	diff_summary	avg_logprob	min_segment_logprob	max_no_speech_prob	max_compression_ratio	asr_confidence_status	critical_diff_status	novel_repetition_status	spoken_length_status	linguistic_near_duplicate_status	voice_role_status	accent_status	pronunciation_status	linked_question_ids	question_key_consistency_status	manual_exchange_finding_ids	reconciliation_status	canonical_transcript	canonical_transcript_status	stressed_syllable_status	linguistic_status	human_queue_reasons	human_queue_priority	human_queue_owner	human_review_scope	technical_reuse_class	linguistic_reuse_candidate	overall_reuse_status	release_status	reviewed_at	reviewer
asset:toefl:set-1:part-5:listen-choose-1	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-1.mp3	5c397a1458bbc2def111e50648c9e742c4a074fbbfdc742a3478faa6fd6fd076	pass_automated_T06	missing				openai-whisper-small	20250625	en	Excuse me, could you tell me where the science library is?	3e2c73e77150571dbda14b7be6ef4e8bf7ccd9ab8a30030c1a5eae74203c3dcf		75f1ba51b4d29a3229cdbffa96677f13b447d5df5845e47400751efd704b0a24	0	11	217.105					no_source_candidate	-0.266024	-0.266024	0.003224	0.892308	pass_model_signal	none_detected	none_detected	stressed_syllable_count_pending_human	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cr1	manual_exchange_review_pass_pending_T08	none	asr_candidate_recovered_pending_human		pending_human_adjudication_T08	pending_human_T08	queued_human_T08	LING-SOURCE-001;LING-STRESS-001	P1	T08	100_percent_required_T08	A_technical_conserve_candidate	B_transcript_adjudication_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-5:listen-choose-2	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-2.mp3	8d276425d7a469d4280462c64cface44531b009a6a8aa12035e7d81357e745ad	pass_with_actionable_warning	missing				openai-whisper-small	20250625	en	We're all going out for dinner on Saturday. Would you like to come?	fb4fda87c28216f4520d461078b0d7f9b48784868845c3187483991eba3eb410		b331e3b2ccf7e77dde71f97673c8bfe7b41eafc3b1aa3b7ac3ac3081d4d14d7d	0	14	262.5					no_source_candidate	-0.259734	-0.259734	0.008869	0.957143	pass_model_signal	none_detected	none_detected	stressed_syllable_count_pending_human	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cr2	manual_exchange_review_pass_pending_T08	none	asr_candidate_recovered_pending_human		pending_human_adjudication_T08	pending_human_T08	queued_human_T08	LING-SOURCE-001;LING-STRESS-001	P1	T08	100_percent_required_T08	A_technical_conserve_candidate	B_transcript_adjudication_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-5:listen-choose-3	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-3.mp3	03fcd6e06d67a8aade21f2492326d1b50fc697ba8a4e1b2e93d165a8f2f7172a	pass_automated_T06	missing				openai-whisper-small	20250625	en	Oh no, I forgot my umbrella and it's pouring outside.	105ca8bdf810f5dbd5fadbe5a1c85e23b6056d0e5ed8ed1b702e2ad2f0251a25		f79f53bdeade14d0cb68969b860943545805af2d31ed726922fe6256862ec413	0	11	196.429					no_source_candidate	-0.28202	-0.28202	0.002816	0.868852	pass_model_signal	none_detected	none_detected	stressed_syllable_count_pending_human	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cr3	manual_exchange_review_pass_pending_T08	none	asr_candidate_recovered_pending_human		pending_human_adjudication_T08	pending_human_T08	queued_human_T08	LING-SOURCE-001;LING-STRESS-001	P1	T08	100_percent_required_T08	A_technical_conserve_candidate	B_transcript_adjudication_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-5:listen-choose-4	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-4.mp3	11944be706b6c2165c5b11575adf8e45a556dd6b00d86d72c654107ec4979758	pass_automated_T06	missing				openai-whisper-small	20250625	en	Could you send me the information about next week's workshop?	28984a14fdaec15e3a4fb3f2f7b7b72cf10fdbf2038326213b84bb94029ecb0a		dcb480d540656cbcafb1b464788aa5d0803ef804db59182ca0a6f63712891014	0	11	222.973					no_source_candidate	-0.17135	-0.17135	0.0037	0.924242	pass_model_signal	none_detected	none_detected	stressed_syllable_count_pending_human	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cr4	manual_exchange_review_pass_pending_T08	none	asr_candidate_recovered_pending_human		pending_human_adjudication_T08	pending_human_T08	queued_human_T08	LING-SOURCE-001;LING-STRESS-001	P1	T08	100_percent_required_T08	A_technical_conserve_candidate	B_transcript_adjudication_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-5:listen-choose-5	set-1	5	L-001	Listen and Choose a Response	public/audio/toefl/set-1/listen-choose-5.mp3	3f2c2190bd33607ec3d0a8669b90f0e5e841e9c891585b5a0085a181439d9bee	pass_automated_T06	missing				openai-whisper-small	20250625	en	You look really cheerful today, did something good happen?	17d42de35debb2a0792516225afd9840e3461988f86023cd043c374d5878fef1		cfbf0967f9e8a2894867450e6c1236455dad452a8f5b358f7f18ec797185155f	0	9	182.432					no_source_candidate	-0.275675	-0.275675	0.002171	0.90625	pass_model_signal	none_detected	none_detected	stressed_syllable_count_pending_human	asset:toefl:set-2:part-5:listen-choose-5@0.889	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cr5	manual_exchange_review_pass_pending_T08	none	asr_candidate_recovered_pending_human		pending_human_adjudication_T08	pending_human_T08	queued_human_T08	LING-SOURCE-001;LING-STRESS-001;LING-DUP-001	P1	T08	100_percent_required_T08	A_technical_conserve_candidate	B_transcript_adjudication_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-6:conversation	set-1	6	L-002	Listen to a Conversation	public/audio/toefl/set-1/conversation.mp3	dfe47b5aacf092cdeaad940111968c1413856b9c184c529abd92ea06a21c645b	pass_with_actionable_warning	section.transcript	section:set-1:part-6.transcript	f856c97bfb3a9eb8d959c746fabae242e75f9841f29e2fe0eeb00e145d3b422b	MAN: Have you decided which elective you're taking next term?\n\nWOMAN: I'm stuck between two, actually. There's "Introduction to Psychology," which sounds really interesting, and "Public Speaking," which I know I need but am kind of dreading.\n\nMAN: Why are you dreading public speaking?\n\nWOMAN: I get really nervous in front of people. But that's exactly why I feel like I should take it — I'll have to give presentations in almost every career, and I never get better by avoiding it.\n\nMAN: That's a mature way to look at it. Psychology would probably be more enjoyable, but public speaking might be more useful in the long run.\n\nWOMAN: Right. And a friend who took the public speaking course last year said the teacher is really supportive — you start with tiny, low-pressure exercises and build up gradually. It's not like you have to give a big speech on day one.\n\nMAN: That does sound less scary. Honestly, I might take it too. I could use the practice.\n\nWOMAN: You should! It'd be easier with a friend in the class. Okay, you've helped me decide — I'll sign up for public speaking. I can always take psychology another term.	openai-whisper-small	20250625	en	Have you decided which elective you're taking next term? I'm stuck between two, actually. There's introduction to psychology, which sounds really interesting. And public speaking, which I know I need, but I'm kind of dreading. Why are you dreading public speaking? I get really nervous in front of people, but that's exactly why I feel like I should take it. I'll have to give presentations in almost every career, and I never get better by avoiding it. That's a mature way to look at it. Psychology would probably be more enjoyable, but public speaking might be more useful in the long run. Right. And a friend who took the public speaking course last year said the teacher is really supportive. You start with tiny, low pressure exercises and build up gradually. It's not like you have to give a big speech on day one. That does sound less scary. Honestly, I might take it too. I could use the practice. You should. It'd be easier with a friend in the class. Okay, you've helped me decide. I'll sign up for public speaking. I can always take psychology and other terms.	08cff947c3be6ba0dd587099b9fb5072fc9dd0f96bd1d7faac449ac8367c2933	0982c7b8f5eda3d6eb72d335c506def9224a59cf038924322e23b7726ae54500	c775585a12dbc8f9f2f35ede223a0a54c754ecb8b93dff1125615cbb241e0e77	199	201	187.267	0.020101	2	0	2	I:i | I:and | S:another→other | S:term→terms	-0.146258	-0.211258	0.102649	1.671233	pass_model_signal	critical_token_diff	none_detected	exceeds_intermediate_35_100_word_reference	none_detected_at_0.88	source_multi_role_labels_diarization_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-cv1;t1-l-cv2;t1-l-cv3;t1-l-cv4	source_contract_preserved_subject_to_T08	none	source_material_diff_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	LING-DIFF-001;LING-CRIT-001;LING-LEN-001	P1	T08	100_percent_required_T08_T15	A_technical_conserve_candidate	C_linguistic_segment_or_reframe_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-7:announcement	set-1	7	L-003	Listen to an Announcement	public/audio/toefl/set-1/announcement.mp3	379645912b17f6a6ca37d66f0b5e5599bc435ed6775331da1150431e656448dd	pass_automated_T06	section.transcript	section:set-1:part-7.transcript	f5a46461ae99e09e3104853a18823e4970d549c77f55d87f1807e0a466ff528c	Good morning, students. This is an announcement about the campus cafeteria. Starting next Monday, we are introducing a number of changes based on the feedback many of you gave in last term's survey. First, we're extending our opening hours: the cafeteria will now stay open until nine p.m. on weekdays, so those of you studying late can still get a hot meal.\n\nSecond, we're expanding our vegetarian and vegan options — there will be at least three plant-based main dishes available at every meal. Third, to reduce waste, we're switching to reusable plates and cups for anyone eating in; disposable containers will only be given to those taking food away. We'll have a small deposit system for takeaway containers, which you get back when you return them. We hope these changes make the cafeteria a better place for everyone. Thank you for your feedback — it really does make a difference.	openai-whisper-small	20250625	en	Good morning, students. This is an announcement about the campus cafeteria. Starting next Monday, we are introducing a number of changes based on the feedback many of you gave in last term survey. First, we're extending our opening hours. The cafeteria will now stay open until 9 PM on weekdays, so those of you studying late can still get a hot meal. Second, we're expanding our vegetarian and vegan options. There will be at least three plant-based main dishes available at every meal. Third, to reduce waste, we're switching to reusable plates and cups for anyone eating in. Disposable containers will only be given to those taking food away. We'll have a small deposit system for takeaway containers, which you get back when you return them. We hope these changes make the cafeteria a better place for everyone. Thank you for your feedback. It really does make a difference.	314d70b495115b5ad779058a5d18fbd504b59f5d201026fde6fe0ceb9e7aef41	5f3f3367d6ac1ed2f0f5b6959c25607f950eec5187acdf2d80898a0bed9ff3f1	22cdd0e8b202c3c2a2ac978efd8315dd1c45294e04b3dcc65dacd9d4fb59f27e	156	154	174.735	0.019231	1	2	0	D:is | D:p | S:m→pm	-0.123359	-0.129124	0.037466	1.64527	pass_model_signal	none_detected	none_detected	exceeds_intermediate_35_100_word_reference	none_detected_at_0.88	source_single_role_or_implicit_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-an1;t1-l-an2;t1-l-an3	source_contract_preserved_subject_to_T08	none	source_minor_diff_supported_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	LING-DIFF-001;LING-LEN-001	P1	T08	100_percent_required_T08_T15	A_technical_conserve_candidate	C_linguistic_segment_or_reframe_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-8:academic-talk	set-1	8	L-004	Listen to an Academic Talk	public/audio/toefl/set-1/academic-talk.mp3	77c55ddb0db398c3372372a401664812ae2ff2ad01505cbbd843e493690e91d9	pass_with_actionable_warning	section.transcript	section:set-1:part-8.transcript	4beee4c089c30e1c8a02b09ece23095e61849640b551fd30f07f0c5ac38775bd	PROFESSOR: Today I want to talk about a color that changed the world — or rather, a color that was, for most of history, almost impossible to make: the color purple. Specifically, a deep reddish-purple dye known in the ancient world as Tyrian purple. Understanding its story tells us a lot about how scarcity shapes value and even politics.\n\nIn the ancient Mediterranean, this purple dye was made from the mucus of certain sea snails. And here's the astonishing part: it took thousands of snails to produce just a tiny amount of dye — by some estimates, around ten thousand snails for a single gram. The process was slow, foul-smelling, and enormously labor-intensive. As a result, purple cloth became one of the most expensive substances in the world, worth more than its weight in gold.\n\nBecause it was so costly, purple became a symbol of wealth and power. Only emperors, kings, and the very rich could afford it. In the Roman Empire, laws were even passed restricting who was allowed to wear purple — at times, only the emperor himself. This is where we get the phrase "born to the purple," meaning born into royalty. The color's meaning came almost entirely from its scarcity, not from anything about the color itself.\n\nNow, here's the twist that I find fascinating. In eighteen fifty-six, a young British chemistry student named William Perkin was trying to make an anti-malaria drug, and he accidentally created the first synthetic purple dye. Suddenly, purple could be manufactured cheaply and in large quantities. Within a few decades, this once-royal color became available to ordinary people. And this is the deeper lesson: the value of purple was never really about the color. It was about how hard it was to get. Once technology removed that difficulty, the color lost its exclusive meaning. Scarcity, not beauty, had been doing the work all along.	openai-whisper-small	20250625	en	Today I want to talk about a color that changed the world, or rather, a color that was, for most of history, almost impossible to make, the color purple, specifically a deep reddish-purple dye known in the ancient world as Tyrion purple. Understanding its story tells us a lot about how scarcity shapes value and even politics. In the ancient Mediterranean, this purple dye was made from the mucus of certain sea snails. And here's the astonishing part. It took thousands of snails to produce just a tiny amount of dye, by some estimates around 10,000 snails for a single gram. The process was slow, foul-smelling, and enormously labor-intensive. As a result, purple cloth became one of the most expensive substances in the world, worth more than its weight in gold. Because it was so costly, purple became a symbol of wealth and power. Only emperors, kings, and the very rich could afford it. In the Roman Empire, laws were even passed restricting who was allowed to wear purple. At times, only the emperor himself. This is where we get the phrase born to the purple, meaning born into royalty. The color's meaning came almost entirely from its scarcity, not from anything about the color itself. Now, here's the twist that I find fascinating. In 1856, a young British chemistry student named William Perkin was trying to make an anti-malaria drug, and he accidentally created the first synthetic purple dye. Suddenly, purple could be manufactured cheaply and in large quantities. Within a few decades, this once royal color became available to ordinary people. And this is the deeper lesson. The value of purple was never really about the color. It was about how hard it was to get. Once technology removed that difficulty, the color lost its exclusive meaning. Scarcity, not beauty, had been doing the work all along.	48475aa4692cc7ebefe5c98cd191d47d1879541cd9bc6ad93b814e1b943545da	5d5f555bda7cb248cce654b7eb0c277ca813ca9184f369e7b80065a6be08f737	6c9008d9a391031f5eaf7375b75b3315a0b0371ef95914585188daf301e00689	316	316	136.364	0.003165	1	0	0	S:tyrian→tyrion	-0.128975	-0.178737	0.083061	1.587379	pass_model_signal	critical_token_diff	none_detected	exceeds_extended_250_word_reference	none_detected_at_0.88	source_single_role_or_implicit_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-l-at1;t1-l-at2;t1-l-at3;t1-l-at4;t1-l-at5	source_contract_preserved_subject_to_T08	none	source_material_diff_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	LING-DIFF-001;LING-CRIT-001;LING-LEN-002	P1	T08	100_percent_required_T08_T15	A_technical_conserve_candidate	C_linguistic_segment_or_reframe_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-12:repeat-1	set-1	12	S-001	Listen and Repeat	public/audio/toefl/set-1/repeat-1.mp3	6802849e7b9e1caa8b212bb811204d708306d9dc3caba5e743f35f2f7f48335d	pass_with_actionable_warning	targetSentence	object:t1-s-rp1.targetSentence	57b2f27e4afb6b615e97952aa5a9572a2b3c7d5baadac3dc4b24c41a4c91453d	The office is closed.	openai-whisper-small	20250625	en	The office is closed.	57b2f27e4afb6b615e97952aa5a9572a2b3c7d5baadac3dc4b24c41a4c91453d	70fe1f10ec819f25f919ed6c9584f93806e3936da1bda4309a24fc8de95f86d5	70fe1f10ec819f25f919ed6c9584f93806e3936da1bda4309a24fc8de95f86d5	4	4	166.667	0	0	0	0	none	-0.456394	-0.456394	0.032049	0.724138	pass_model_signal	none_detected	none_detected	within_applicable_word_reference_or_not_applicable	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-s-rp1	source_contract_preserved_subject_to_T08	none	source_exact_normalized_supported_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	stratified_human_confirmation	P3	T08	stratified_sample_T08	A_technical_conserve_candidate	A_linguistic_conserve_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-12:repeat-2	set-1	12	S-001	Listen and Repeat	public/audio/toefl/set-1/repeat-2.mp3	b6293b7f3481e30af575169049d493531c9be4af51d2e6e3f9a69f3f9037bafa	pass_with_actionable_warning	targetSentence	object:t1-s-rp2.targetSentence	bdf6b1ae56aa4a040aea12dae9726813734756319d8f7c06b8ab4cfe7c7376cf	She made a cake for her brother's birthday.	openai-whisper-small	20250625	en	She made a cake for her brother's birthday.	bdf6b1ae56aa4a040aea12dae9726813734756319d8f7c06b8ab4cfe7c7376cf	9c497a637de961edf2e5dfc0c90875bad4536cf4748e99795f17c3cfc138aa6e	9c497a637de961edf2e5dfc0c90875bad4536cf4748e99795f17c3cfc138aa6e	9	9	217.742	0	0	0	0	none	-0.302403	-0.302403	0.000914	0.877551	pass_model_signal	none_detected	none_detected	within_applicable_word_reference_or_not_applicable	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-s-rp2	source_contract_preserved_subject_to_T08	none	source_exact_normalized_supported_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	stratified_human_confirmation	P3	T08	stratified_sample_T08	A_technical_conserve_candidate	A_linguistic_conserve_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
asset:toefl:set-1:part-12:repeat-3	set-1	12	S-001	Listen and Repeat	public/audio/toefl/set-1/repeat-3.mp3	02d1281e5aa876826ad9c3ec8282bf9fc54a177aa37aed508b93d632a588a61d	pass_automated_T06	targetSentence	object:t1-s-rp3.targetSentence	fb92557b69f200e0f01626379475002902a49a238219f215861ace6f771c94e7	The workers repaired the road after the heavy rain.	openai-whisper-small	20250625	en	The workers repaired the road after the heavy rain.	fb92557b69f200e0f01626379475002902a49a238219f215861ace6f771c94e7	cf530371cffe008df35e79f6e1e4d287f6b8df76c907ed500b371d7dcdc1d88b	cf530371cffe008df35e79f6e1e4d287f6b8df76c907ed500b371d7dcdc1d88b	9	9	153.409	0	0	0	0	none	-0.206217	-0.206217	0.00043	0.944444	pass_model_signal	none_detected	none_detected	within_applicable_word_reference_or_not_applicable	none_detected_at_0.88	voice_identity_not_recorded_pending_T08	not_inferable_from_ASR_pending_T08	ASR_detector_only_pending_T08	t1-s-rp3	source_contract_preserved_subject_to_T08	none	source_exact_normalized_supported_pending_human		pending_human_adjudication_T08	not_applicable	queued_human_T08	stratified_human_confirmation	P3	T08	stratified_sample_T08	A_technical_conserve_candidate	A_linguistic_conserve_candidate	pending_T08	blocked_not_validated	2026-08-09	Codex_ASR_detector_not_human_adjudicator
